Phrase,Form,Role,Type,KeyLexemes
как драгоценность,как + Sx,сравнение,Circum,уберечь
надо,PRAEDIC,необходимость,Control,уберечь
ну,INTJ,,Modal,беречься
ну,INTJ,,Modal,поберечься
теперь,ADVPRO,время,Circum,беречься
теперь,ADVPRO,время,Circum,поберечься
но,CONJ,противопоставление,Modal,беречься
но,CONJ,противопоставление,Modal,поберечься
тогда,ADV,время,Circum,беречься
тогда,ADV,время,Circum,поберечься
не очень,ADV,степень,Circum,беречься
не очень,ADV,степень,Circum,поберечься
б,PART,сослаг.,Gram,беречься
б,PART,сослаг.,Gram,поберечься
эй,INTJ,,Modal,беречься
эй,INTJ,,Modal,поберечься
ах так,PARENTH,противопоставление,Modal,беречься
ах так,PARENTH,противопоставление,Modal,поберечься
год,Sacc,длительность,Circum,беречься
год,Sacc,длительность,Circum,поберечься
как ни,PART,отрицание,Modal,беречься
как ни,PART,отрицание,Modal,поберечься
не,PART,отрицание,Modal,беречься
не,PART,отрицание,Modal,поберечься
ночами,Sins,время,Circum,беречься
ночами,Sins,время,Circum,поберечься
как может,как + V,степень,Circum,беречься
как может,как + V,степень,Circum,поберечься
как-то,ADV,степень,Circum,беречься
как-то,ADV,степень,Circum,поберечься
только,PART,ограничит.,Modal,беречься
только,PART,ограничит.,Modal,поберечься
в автомобиле,в + Sloc,место,Circum,беречься
в автомобиле,в + Sloc,место,Circum,поберечься
чего,ADV,причина,Circum,беречься
чего,ADV,причина,Circum,поберечься
и,PART,усиление,Modal,беречься
и,PART,усиление,Modal,поберечься
мол,PART,цитация,Modal,беречься
мол,PART,цитация,Modal,поберечься
ведь,PART,дискурс,Modal,беречься
ведь,PART,дискурс,Modal,поберечься
вот,PART,дискурс,Modal,беречься
вот,PART,дискурс,Modal,поберечься
а,CONJ,,Modal,беречься
а,CONJ,,Modal,поберечься
о-о-ой,INTJ,,Modal,беречься
о-о-ой,INTJ,,Modal,поберечься
как чёрт ладана,как + Sx,сравнение,Circum,беречься
как чёрт ладана,как + Sx,сравнение,Circum,поберечься
смолоду,ADV,время - предел,Circum,беречься
смолоду,ADV,время - предел,Circum,поберечься
пусть,PART,побудит.,Modal,беречься
пусть,PART,побудит.,Modal,поберечься
неторопливо,ADV,скорость,Circum,беседовать
отнюдь не,PART,отрицание,Modal,беседовать
регулярно,ADV,частота,Circum,беседовать
в кулуарах конференции,в + Sloc,место,Circum,беседовать
тут,ADVPRO,дискурс,Circum,беседовать
именно,PART,усиление,Modal,беседовать
неоднократно,ADV,частота,Circum,беседовать
час,Sacc,длительность,Circum,беседовать
чаще всего,ADV,частота,Circum,беседовать
сегодня,ADV,время,Circum,беседовать
негромко,ADV,звук,Circum,беседовать
бы,PART,сослагат.,Modal,беседовать
бы,PART,сослагат.,Modal,побеседовать
бы,PART,сослаг.,Gram,беседовать
бы,PART,сослаг.,Gram,побеседовать
на лестнице,на + Sloc ,место,Circum,беседовать
на лестнице,на + Sloc ,место,Circum,побеседовать
свободно,ADV,образ действия,Circum,беседовать
свободно,ADV,образ действия,Circum,побеседовать
около полудня,около + Sgen,время,Circum,беседовать
около полудня,около + Sgen,время,Circum,побеседовать
сейчас,ADV,время,Circum,беседовать
сейчас,ADV,время,Circum,побеседовать
подолгу,ADV,длительность,Circum,беседовать
подолгу,ADV,длительность,Circum,побеседовать
в темнице,в + Sloc,место,Circum,беседовать
в темнице,в + Sloc,место,Circum,побеседовать
мысленно,ADV,образ действия,Circum,беседовать
мысленно,ADV,образ действия,Circum,побеседовать
долго,ADV,длительность,Circum,беседовать
долго,ADV,длительность,Circum,побеседовать
лет пять назад,Sacc + назад,время,Circum,беседовать
лет пять назад,Sacc + назад,время,Circum,побеседовать
тоже,PART,тождество,Modal,беседовать
тоже,PART,тождество,Modal,побеседовать
вчера,ADV,время,Circum,беседовать
вчера,ADV,время,Circum,побеседовать
мило,ADV,образ действия,Circum,беседовать
мило,ADV,образ действия,Circum,побеседовать
"из душевного, школьного знания",из + Sgen,источник,Circum,беседовать
"из душевного, школьного знания",из + Sgen,источник,Circum,побеседовать
оживлённо,ADV,образ действия,Circum,беседовать
оживлённо,ADV,образ действия,Circum,побеседовать
под лавкой,под + Sins,место,Circum,беседовать
под лавкой,под + Sins,место,Circum,побеседовать
не то чтобы,PART,отрицание,Modal,беседовать
не то чтобы,PART,отрицание,Modal,побеседовать
сам,APRO,самостоятельность,Circum,беседовать
сам,APRO,самостоятельность,Circum,побеседовать
с притворным интересом,с + Sins,образ действия,Circum,беседовать
с притворным интересом,с + Sins,образ действия,Circum,побеседовать
не,PART,отрицание,Modal,беседовать
не,PART,отрицание,Modal,побеседовать
"у подоконного столика, на котором топорщилась большая измятая газета с растерзанной рыбиной и стояла, покачивая жидкостью, полупустая водочная бутылка о видом председателя, руководящего беседой.",у + Sgen,место,Circum,беседовать
"у подоконного столика, на котором топорщилась большая измятая газета с растерзанной рыбиной и стояла, покачивая жидкостью, полупустая водочная бутылка о видом председателя, руководящего беседой.",у + Sgen,место,Circum,побеседовать
в таком тоне,в + Sloc,оценка,Circum,беседовать
в таком тоне,в + Sloc,оценка,Circum,побеседовать
негромко,ADV,звук,Circum,побеседовать
очень оживленно,ADV,образ действия,Circum,беседовать
очень оживленно,ADV,образ действия,Circum,побеседовать
именно,PART,усиление,Modal,побеседовать
в котором,в + Sloc,место,Circum,беседовать
в котором,в + Sloc,место,Circum,побеседовать
громко,ADV,звук,Circum,беседовать
громко,ADV,звук,Circum,побеседовать
чинно,ADV,образ действия,Circum,беседовать
чинно,ADV,образ действия,Circum,побеседовать
любезно,ADV,образ действия,Circum,беседовать
любезно,ADV,образ действия,Circum,побеседовать
просто,PRAEDIC,трудность,Control,беседовать
просто,PRAEDIC,трудность,Control,побеседовать
дважды,Sacc,частота,Circum,беседовать
дважды,Sacc,частота,Circum,побеседовать
самой,APRO,самостоятельность,Circum,беседовать
самой,APRO,самостоятельность,Circum,побеседовать
уныло,ADV,оценка,Circum,беседовать
уныло,ADV,оценка,Circum,побеседовать
и,PART,усиление,Modal,беседовать
и,PART,усиление,Modal,побеседовать
на ты,на + Sacc,образ действия,Circum,беседовать
на ты,на + Sacc,образ действия,Circum,побеседовать
иногда,ADV,узуальность,Circum,беседовать
иногда,ADV,узуальность,Circum,побеседовать
пусть и заочно,ADV,образ действия,Circum,беседовать
пусть и заочно,ADV,образ действия,Circum,побеседовать
где,ADV,место,Circum,беседовать
где,ADV,место,Circum,побеседовать
снисходительно,ADV,образ действия,Circum,беседовать
снисходительно,ADV,образ действия,Circum,побеседовать
долго и обстоятельно,ADV,длительность,Circum,беседовать
долго и обстоятельно,ADV,длительность,Circum,побеседовать
даже,ADV,усиление,Modal,беседовать
даже,ADV,усиление,Modal,побеседовать
просто,PART,,Modal,беседовать
просто,PART,,Modal,побеседовать
только,PART,ограничит.,Modal,беседовать
только,PART,ограничит.,Modal,побеседовать
каким-то непонятным образом,Sins,образ действия,Circum,беседовать
каким-то непонятным образом,Sins,образ действия,Circum,себя
тихо,ADV,звук,Circum,беседовать
тихо,ADV,звук,Circum,себя
и,PART,усиление,Modal,бесить
реально,ADV,степень,Circum,бесить
просто,PART,усиление,Modal,бесить
в таковом качестве,в + Sloc,образ действия,Circum,бесить
прямо,ADV,непосредственность,Circum,бесить
гак,ADV,степень,Circum,бесить
тогда,ADV,время,Circum,бесить
тогда,ADV,время,Circum,взбесить
вот почему,ADV,мотивировка,Circum,бесить
вот почему,ADV,мотивировка,Circum,взбесить
больше всего,ADV,степень,Circum,бесить
больше всего,ADV,степень,Circum,взбесить
наверно,PARENTH,точность,Modal,бесить
наверно,PARENTH,точность,Modal,взбесить
просто,PART,усиление,Modal,взбесить
порой,Sins,узуальность,Circum,бесить
порой,Sins,узуальность,Circum,взбесить
действительно,ADV,точность,Circum,бесить
действительно,ADV,точность,Circum,взбесить
как,ADV,степень,Circum,бесить
как,ADV,степень,Circum,взбесить
теперь,ADVPRO,время,Circum,бесить
теперь,ADVPRO,время,Circum,взбесить
иногда,ADV,узуальность,Circum,бесить
иногда,ADV,узуальность,Circum,взбесить
уже,ADV,,Modal,бесить
уже,ADV,,Modal,взбесить
так что,CONJ,причина,Circum,бесить
так что,CONJ,причина,Circum,взбесить
в сорокалетних богатых мужчинах,в + Sloc,сфера,Circum,бесить
в сорокалетних богатых мужчинах,в + Sloc,сфера,Circum,взбесить
начинало,V,фазовый,Control,бесить
начинало,V,фазовый,Control,взбесить
поначалу,ADV,фаза,Circum,бесить
поначалу,ADV,фаза,Circum,взбесить
не,PART,отрицание,Modal,бесить
не,PART,отрицание,Modal,взбесить
более же всего,ADV,степень,Circum,бесить
более же всего,ADV,степень,Circum,взбесить
как же,ADV,причина,Circum,бесить
как же,ADV,причина,Circum,взбесить
особенно,ADV,степень,Circum,бесить
особенно,ADV,степень,Circum,взбесить
перестает,Vpraes,фазовый,Control,бесить
перестает,Vpraes,фазовый,Control,взбесить
сейчас,ADV,время,Circum,бесить
сейчас,ADV,время,Circum,взбесить
наоборот,PARENTH,противопоставление,Modal,бесить
наоборот,PARENTH,противопоставление,Modal,взбесить
буквально,ADV,точность,Circum,бесить
буквально,ADV,точность,Circum,взбесить
бы,PART,сослаг.,Gram,бесить
бы,PART,сослаг.,Gram,взбесить
откровенно говоря,PARENTH,дискурс,Modal,бесить
откровенно говоря,PARENTH,дискурс,Modal,взбесить
так,ADV,степень,Circum,бесить
так,ADV,степень,Circum,взбесить
так же сильно,ADV,интенсивность,Circum,бесить
так же сильно,ADV,интенсивность,Circum,взбесить
просто,PART,,Modal,бесить
просто,PART,,Modal,взбесить
тоже,PART,тождество,Modal,бесить
тоже,PART,тождество,Modal,взбесить
и вправду,PARENTH,точность,Modal,беситься
не,PART,отрицание,Modal,беситься
может,PARENTH,предположение,Modal,беситься
это,PART,экспозиция,Modal,беситься
просто,PART,,Modal,беситься
вот,PART,дискурс,Modal,беситься
там,ADV,место,Circum,беситься
а,CONJ,,Modal,беситься
целое тысячелетие,Sacc,длительность,Circum,беситься
целое тысячелетие,Sacc,длительность,Circum,взбеситься
в глубине души,в + Sloc,место,Circum,беситься
в глубине души,в + Sloc,место,Circum,взбеситься
так,ADV,степень,Circum,беситься
так,ADV,степень,Circum,взбеситься
еще больше,ADV,степень,Circum,беситься
еще больше,ADV,степень,Circum,взбеситься
а,CONJ,,Modal,взбеситься
вот,PART,дискурс,Modal,взбеситься
всю ночь,Sacc,длительность,Circum,беситься
всю ночь,Sacc,длительность,Circum,взбеситься
даже,PART,фокус,Modal,беситься
даже,PART,фокус,Modal,взбеситься
на рисовании,на + Sloc ,фоновая ситуация,Circum,беситься
на рисовании,на + Sloc ,фоновая ситуация,Circum,взбеситься
в москве,в + Sloc,место,Circum,беситься
в москве,в + Sloc,место,Circum,взбеситься
пусть,PART,,Modal,беситься
пусть,PART,,Modal,взбеситься
отчего,ADV,причина,Circum,беситься
отчего,ADV,причина,Circum,взбеситься
чего,ADV,причина,Modal,беситься
чего,ADV,причина,Modal,взбеситься
так что,CONJ,мотивировка,Modal,беситься
так что,CONJ,мотивировка,Modal,взбеситься
всячески,ADV,степень,Circum,беситься
всячески,ADV,степень,Circum,взбеситься
вовсю,ADV,степень,Circum,беситься
вовсю,ADV,степень,Circum,взбеситься
тогда,ADV,время,Circum,беситься
тогда,ADV,время,Circum,взбеситься
в этом прошлом,в + Sloc,время,Circum,беситься
в этом прошлом,в + Sloc,время,Circum,взбеситься
просто,PART,,Modal,взбеситься
иногда,ADV,узуальность,Circum,беситься
иногда,ADV,узуальность,Circum,взбеситься
и,PART,усиление,Modal,беситься
и,PART,усиление,Modal,взбеситься
на ерофея мученика,на + Sacc,время,Circum,беситься
на ерофея мученика,на + Sacc,время,Circum,взбеситься
вокруг,ADV,место,Circum,беситься
вокруг,ADV,место,Circum,взбеситься
себе,PART,,Modal,беситься
себе,PART,,Modal,взбеситься
ведь,PART,дискурс,Modal,беситься
ведь,PART,дискурс,Modal,взбеситься
всё,PART,длительность,Modal,беситься
всё,PART,длительность,Modal,взбеситься
уже,ADV,,Modal,беситься
уже,ADV,,Modal,взбеситься
"вторые сутки, как приехали,",Sacc,длительность,Circum,беситься
"вторые сутки, как приехали,",Sacc,длительность,Circum,взбеситься
"по поводу выбора, который делает человек, оставшийся один на один, без помощи, без надежды...",по + Sdat,причина,Circum,беситься
"по поводу выбора, который делает человек, оставшийся один на один, без помощи, без надежды...",по + Sdat,причина,Circum,взбеситься
потому что требую от них большего,потому + что + CL,причина,Circum,беситься
потому что требую от них большего,потому + что + CL,причина,Circum,взбеситься
тихо,ADV,образ действия,Circum,беситься
тихо,ADV,образ действия,Circum,взбеситься
сначала,ADV,фаза,Circum,беситься
сначала,ADV,фаза,Circum,взбеситься
в ней,в + Sloc,место,Circum,беситься
в ней,в + Sloc,место,Circum,взбеситься
потом,ADV,последовательность,Circum,беситься
потом,ADV,последовательность,Circum,взбеситься
уже там,ADV,место,Circum,беситься
уже там,ADV,место,Circum,взбеситься
страшно,ADV,степень,Circum,беситься
страшно,ADV,степень,Circum,взбеситься
мол,PART,цитация,Modal,беситься
мол,PART,цитация,Modal,взбеситься
поэтому,ADV,причина,Circum,беситься
поэтому,ADV,причина,Circum,взбеситься
только,PART,ограничит.,Modal,беситься
только,PART,ограничит.,Modal,взбеситься
короче,PARENTH,дискурс,Modal,беситься
короче,PARENTH,дискурс,Modal,взбеситься
на крыше управления,на + Sloc ,место,Circum,беситься
на крыше управления,на + Sloc ,место,Circum,взбеситься
по причине трезвости,по + Sdat,причина,Circum,беситься
по причине трезвости,по + Sdat,причина,Circum,взбеситься
до рассвета,до + Sgen,длительность - предел,Circum,беситься
до рассвета,до + Sgen,длительность - предел,Circum,взбеситься
у плетня,у + Sgen,место,Circum,беситься
у плетня,у + Sgen,место,Circum,взбеситься
на все лады,на + Sacc,степень,Circum,беситься
на все лады,на + Sacc,степень,Circum,взбеситься
попросту,ADV,,Circum,беспокоить
первое время,Sacc,фаза,Circum,беспокоить
не,PART,отрицание,Modal,беспокоить
сегодня,ADV,время,Circum,беспокоить
особенно,ADV,степень,Circum,беспокоить
не,PART,отрицание,Modal,побеспокоить
отлично,ADV,усиление,Circum,беспокоить
отлично,ADV,усиление,Circum,побеспокоить
не стал бы,V,фазовый,Control,беспокоить
не стал бы,V,фазовый,Control,побеспокоить
всерьёз,ADV,степень,Circum,беспокоить
всерьёз,ADV,степень,Circum,обеспокоить
"только ради неё, или игрека, или зета",ради + Sgen,цель,Circum,беспокоить
"только ради неё, или игрека, или зета",ради + Sgen,цель,Circum,обеспокоить
пусть,PART,,Modal,беспокоить
пусть,PART,,Modal,обеспокоить
до моей женитьбы на гале,до + Sgen,длительность - предел,Circum,беспокоить
до моей женитьбы на гале,до + Sgen,длительность - предел,Circum,обеспокоить
не,PART,отрицание,Modal,обеспокоить
не может,Vpraes,возможность,Control,беспокоить
не может,Vpraes,возможность,Control,обеспокоить
не могла,V,возможность,Control,беспокоить
не могла,V,возможность,Control,обеспокоить
даже,PART,фокус,Modal,беспокоить
даже,PART,фокус,Modal,обеспокоить
обычно,ADV,узуальность,Circum,беспокоить
обычно,ADV,узуальность,Circum,обеспокоить
может,Vpraes,возможность,Control,беспокоить
