trigram;freq
('другая', 'возможность', 'платной');1
('учащийся', 'неоднократно', 'повторять');1
('диктора', 'бесплатной', 'версии');1
('неоднократно', 'повторять', 'попытки');1
('повторять', 'попытки', 'пытаясь');1
('попытки', 'пытаясь', 'приблизить');1
('пытаясь', 'приблизить', 'произношение');1
('произношение', 'речи', 'диктора');1
('речи', 'диктора', 'бесплатной');1
('бесплатной', 'версии', 'такая');1
('месяц', 'другая', 'возможность');1
('версии', 'такая', 'возможность');1
('такая', 'возможность', 'представляется');1
('возможность', 'представляется', 'х');1
('представляется', 'х', 'видео');1
('х', 'видео', 'месяц');1
('видео', 'месяц', 'другая');1
('приблизить', 'произношение', 'речи');1
('посмотреть', 'тематически', 'близких');1
('уровня', 'сложности', 'которые');1
('млн', 'строк', 'аудиозаписей');1
('аудиозаписей', 'развития', 'навыков');1
('развития', 'навыков', 'аудирования');1
('навыков', 'аудирования', 'говорения');1
('аудирования', 'говорения', 'каждую');1
('говорения', 'каждую', 'неделю');1
('каждую', 'неделю', 'добавляется');1
('неделю', 'добавляется', 'новых');1
('добавляется', 'новых', 'видео');1
('новых', 'видео', 'контент');1
('видео', 'контент', 'содержит');1
('контент', 'содержит', 'тысячи');1
('содержит', 'тысячи', 'отдельных');1
('тысячи', 'отдельных', 'видео');1
('отдельных', 'видео', 'указанным');1
('видео', 'указанным', 'уровнем');1
('строк', 'аудиозаписей', 'развития');1
('видео', 'млн', 'строк');1
('выбранного', 'уровня', 'сложности');1
('содержит', 'видео', 'млн');1
('ответами', 'комментариями', 'преподавателя');1
('комментариями', 'преподавателя', 'одним');1
('преподавателя', 'одним', 'примером');1
('одним', 'примером', 'привязки');1
('примером', 'привязки', 'планов');1
('планов', 'уроков', 'корпусу');1
('уроков', 'корпусу', 'является');1
('корпусу', 'является', 'мультимедийный');1
('является', 'мультимедийный', 'ресурс');1
('мультимедийный', 'ресурс', 'создан');1
('ресурс', 'создан', 'использованием');1
('создан', 'использованием', 'корпусных');1
('использованием', 'корпусных', 'технологий');1
('корпусных', 'технологий', 'содержит');1
('технологий', 'содержит', 'видео');1
('указанным', 'уровнем', 'сложности');1
('уровнем', 'сложности', 'мини');1
('сложности', 'мини', 'курсов');1
('мини', 'курсов', 'категориях');1
('примеры', 'употребления', 'всплывающем');1
('употребления', 'всплывающем', 'окне');1
('всплывающем', 'окне', 'затем');1
('окне', 'затем', 'вернуться');1
('затем', 'вернуться', 'просмотру');1
('вернуться', 'просмотру', 'видео');1
('просмотру', 'видео', 'урока');1
('видео', 'урока', 'пользователю');1
('урока', 'пользователю', 'предлагают');1
('пользователю', 'предлагают', 'посмотреть');1
('предлагают', 'посмотреть', 'тематически');1
('урока', 'состоит', 'х');1
('тематически', 'близких', 'видео');1
('близких', 'видео', 'выбранного');1
('видео', 'выбранного', 'уровня');1
('увидеть', 'примеры', 'употребления');1
('слово', 'увидеть', 'примеры');1
('незнакомое', 'слово', 'увидеть');1
('показ', 'сопровождается', 'субтитрами');1
('курсов', 'категориях', 'др');1
('категориях', 'др', 'видеофрагмент');1
('др', 'видеофрагмент', 'длится');1
('видеофрагмент', 'длится', 'минуты');1
('длится', 'минуты', 'показ');1
('минуты', 'показ', 'сопровождается');1
('сопровождается', 'субтитрами', 'видео');1
('прослушать', 'незнакомое', 'слово');1
('субтитрами', 'видео', 'можно');1
('видео', 'можно', 'остановить');1
('можно', 'остановить', 'любом');1
('остановить', 'любом', 'месте');1
('любом', 'месте', 'прослушать');1
('месте', 'прослушать', 'незнакомое');1
('план', 'урока', 'состоит');1
('которые', 'можно', 'заполнить');1
('состоит', 'х', 'заданий');1
('преподавателей', 'области', 'корпусной');1
('является', 'платформа', 'созданная');1
('платформа', 'созданная', 'кафедре');1
('созданная', 'кафедре', 'лингвистики');1
('кафедре', 'лингвистики', 'современных');1
('лингвистики', 'современных', 'языков');1
('современных', 'языков', 'университете');1
('языков', 'университете', 'гонконга');1
('университете', 'гонконга', 'руководством');1
('гонконга', 'руководством', 'платформе');1
('руководством', 'платформе', 'представлены');1
('платформе', 'представлены', 'материалы');1
('представлены', 'материалы', 'повышения');1
('материалы', 'повышения', 'квалификации');1
('повышения', 'квалификации', 'самообразования');1
('квалификации', 'самообразования', 'преподавателей');1
('ия', 'является', 'платформа');1
('обучение', 'ия', 'является');1
('лингвистики', 'обучение', 'ия');1
('основе', 'информации', 'видео');1
('других', 'вопроса', 'побуждают');1
('вопроса', 'побуждают', 'высказать');1
('побуждают', 'высказать', 'собственное');1
('высказать', 'собственное', 'мнение');1
('собственное', 'мнение', 'основе');1
('мнение', 'основе', 'информации');1
('информации', 'видео', 'урока');1
('корпусной', 'лингвистики', 'обучение');1
('видео', 'урока', 'одной');1
('урока', 'одной', 'успешной');1
('одной', 'успешной', 'практикой');1
('успешной', 'практикой', 'интегрированию');1
('практикой', 'интегрированию', 'корпусной');1
('интегрированию', 'корпусной', 'лингвистики');1
('самообразования', 'преподавателей', 'области');1
('корпусной', 'лингвистики', 'лингводидактики');1
('идею', 'видеосюжета', 'других');1
('лингвистики', 'лингводидактики', 'небольшие');1
('учебных', 'материалов', 'детально');1
('материалов', 'детально', 'разработанных');1
('детально', 'разработанных', 'планов');1
('разработанных', 'планов', 'уроков');1
('планов', 'уроков', 'продолжительностью');1
('уроков', 'продолжительностью', 'мин');1
('продолжительностью', 'мин', 'категориям');1
('мин', 'категориям', 'обучение');1
('категориям', 'обучение', 'лексике');1
('обучение', 'лексике', 'грамматике');1
('лексике', 'грамматике', 'произношению');1
('грамматике', 'произношению', 'задания');1
('произношению', 'задания', 'основе');1
('задания', 'основе', 'параллельного');1
('основе', 'параллельного', 'англо');1
('примеры', 'учебных', 'материалов');1
('помещены', 'примеры', 'учебных');1
('разделе', 'помещены', 'примеры');1
('грамматики', 'произношения', 'развития');1
('лингводидактики', 'небольшие', 'учебные');1
('небольшие', 'учебные', 'видеоролики');1
('учебные', 'видеоролики', 'продолжительностью');1
('видеоролики', 'продолжительностью', 'минут');1
('продолжительностью', 'минут', 'грамматики');1
('минут', 'грамматики', 'произношения');1
('произношения', 'развития', 'письменных');1
('др', 'разделе', 'помещены');1
('развития', 'письменных', 'навыков');1
('письменных', 'навыков', 'работе');1
('навыков', 'работе', 'параллельным');1
('работе', 'параллельным', 'корпусом');1
('параллельным', 'корпусом', 'др');1
('корпусом', 'др', 'разделе');1
('видеосюжета', 'других', 'вопроса');1
('основную', 'идею', 'видеосюжета');1
('х', 'заданий', 'пропусками');1
('собственные', 'предложения', 'словами');1
('пропущенное', 'слов', 'кликнув');1
('слов', 'кликнув', 'пробелу');1
('кликнув', 'пробелу', 'получить');1
('пробелу', 'получить', 'правильный');1
('получить', 'правильный', 'ответ');1
('правильный', 'ответ', 'выбрать');1
('ответ', 'выбрать', 'отдельные');1
('выбрать', 'отдельные', 'предложения');1
('отдельные', 'предложения', 'последующей');1
('предложения', 'последующей', 'практики');1
('последующей', 'практики', 'задании');1
('практики', 'задании', 'учащиеся');1
('задании', 'учащиеся', 'должны');1
('учащиеся', 'должны', 'составить');1
('должны', 'составить', 'собственные');1
('прослушать', 'пропущенное', 'слов');1
('пробел', 'прослушать', 'пропущенное');1
('впечатанного', 'пробел', 'прослушать');1
('заполнить', 'памяти', 'пользуясь');1
('заданий', 'пропусками', 'нескольких');1
('пропусками', 'нескольких', 'слов');1
('нескольких', 'слов', 'которые');1
('слов', 'которые', 'можно');1
('доступен', 'файл', 'ответами');1
('можно', 'заполнить', 'памяти');1
('памяти', 'пользуясь', 'контекстом');1
('словаря', 'впечатанного', 'пробел');1
('пользуясь', 'контекстом', 'получить');1
('контекстом', 'получить', 'подсказку');1
('получить', 'подсказку', 'виде');1
('подсказку', 'виде', 'определения');1
('виде', 'определения', 'словаря');1
('определения', 'словаря', 'впечатанного');1
('составить', 'собственные', 'предложения');1
('предложения', 'словами', 'которые');1
('сформулировать', 'основную', 'идею');1
('словами', 'которые', 'тренировались');1
('вопроса', 'понимание', 'видеосюжета');1
('понимание', 'видеосюжета', 'формате');1
('видеосюжета', 'формате', 'множественного');1
('формате', 'множественного', 'выбора');1
('множественного', 'выбора', 'ответы');1
('выбора', 'ответы', 'даны');1
('ответы', 'даны', 'задание');1
('даны', 'задание', 'предлагает');1
('задание', 'предлагает', 'вопроса');1
('предлагает', 'вопроса', 'обсуждения');1
('вопроса', 'обсуждения', 'й');1
('обсуждения', 'й', 'просит');1
('й', 'просит', 'кратко');1
('просит', 'кратко', 'сформулировать');1
('кратко', 'сформулировать', 'основную');1
('содержит', 'вопроса', 'понимание');1
('задание', 'содержит', 'вопроса');1
('деактивирована', 'задание', 'содержит');1
('видеосюжета', 'приводятся', 'качестве');1
('которые', 'тренировались', 'задании');1
('тренировались', 'задании', 'предпочтительными');1
('задании', 'предпочтительными', 'являются');1
('предпочтительными', 'являются', 'предложения');1
('являются', 'предложения', 'видеосюжета');1
('предложения', 'видеосюжета', 'приводятся');1
('приводятся', 'качестве', 'возможных');1
('умолчанию', 'деактивирована', 'задание');1
('качестве', 'возможных', 'ответов');1
('возможных', 'ответов', 'активации');1
('ответов', 'активации', 'функции');1
('активации', 'функции', 'которая');1
('функции', 'которая', 'умолчанию');1
('которая', 'умолчанию', 'деактивирована');1
('файл', 'ответами', 'комментариями');1
('использованием', 'изучаемого', 'грамматического');1
('паролю', 'доступен', 'файл');1
('заданий', 'обращений', 'корпусу');1
('материала', 'сопровождение', 'вовлечение');1
('сопровождение', 'вовлечение', 'простого');1
('вовлечение', 'простого', 'сложному');1
('простого', 'сложному', 'большей');1
('сложному', 'большей', 'поддержки');1
('большей', 'поддержки', 'стороны');1
('поддержки', 'стороны', 'преподавателя');1
('стороны', 'преподавателя', 'заданиям');1
('преподавателя', 'заданиям', 'выполняемым');1
('заданиям', 'выполняемым', 'самостоятельно');1
('выполняемым', 'самостоятельно', 'своих');1
('самостоятельно', 'своих', 'статьях');1
('своих', 'статьях', 'описывает');1
('статьях', 'описывает', 'примеры');1
('описывает', 'примеры', 'заданий');1
('введение', 'материала', 'сопровождение');1
('подразумевающих', 'введение', 'материала');1
('принципах', 'подразумевающих', 'введение');1
('уроков', 'использованием', 'корпусов');1
('руководства', 'пользователя', 'далеки');1
('пользователя', 'далеки', 'знакомых');1
('далеки', 'знакомых', 'учителю');1
('знакомых', 'учителю', 'планов');1
('учителю', 'планов', 'уроков');1
('планов', 'уроков', 'использованием');1
('использованием', 'корпусов', 'мнению');1
('педагогических', 'принципах', 'подразумевающих');1
('корпусов', 'мнению', 'инструкции');1
('мнению', 'инструкции', 'преподавателей');1
('инструкции', 'преподавателей', 'должны');1
('преподавателей', 'должны', 'базироваться');1
('должны', 'базироваться', 'педагогических');1
('базироваться', 'педагогических', 'принципах');1
('примеры', 'заданий', 'обращений');1
('обращений', 'корпусу', 'немецкого');1
('характеристик', 'слов', 'помощью');1
('корпусу', 'немецкого', 'языка');1
('малых', 'группах', 'введение');1
('группах', 'введение', 'материала');1
('введение', 'материала', 'преподавателем');1
('материала', 'преподавателем', 'основным');1
('преподавателем', 'основным', 'фокусом');1
('основным', 'фокусом', 'является');1
('фокусом', 'является', 'расширение');1
('словарного', 'запаса', 'задания');1
('запаса', 'задания', 'могут');1
('задания', 'могут', 'включать');1
('могут', 'включать', 'освоение');1
('включать', 'освоение', 'новых');1
('освоение', 'новых', 'лексико');1
('новых', 'лексико', 'грамматических');1
('лексико', 'грамматических', 'характеристик');1
('парах', 'малых', 'группах');1
('работу', 'парах', 'малых');1
('работу', 'работу', 'парах');1
('немецким', 'языком', 'начинающих');1
('немецкого', 'языка', 'учащихся');1
('языка', 'учащихся', 'разным');1
('учащихся', 'разным', 'уровнем');1
('разным', 'уровнем', 'владения');1
('уровнем', 'владения', 'немецким');1
('владения', 'немецким', 'языком');1
('языком', 'начинающих', 'продвинутых');1
('индивидуальную', 'работу', 'работу');1
('начинающих', 'продвинутых', 'предполагающих');1
('продвинутых', 'предполагающих', 'разный');1
('предполагающих', 'разный', 'формат');1
('разный', 'формат', 'работы');1
('формат', 'работы', 'индивидуальную');1
('работы', 'индивидуальную', 'работу');1
('эти', 'руководства', 'пользователя');1
('указывает', 'эти', 'руководства');1
('вяткина', 'указывает', 'эти');1
('н', 'вяткина', 'указывает');1
('обзор', 'готовых', 'оор');1
('готовых', 'оор', 'использования');1
('оор', 'использования', 'подходов');1
('подходов', 'корпусной', 'лингводидактики');1
('обучении', 'ия', 'рассмотрим');1
('ия', 'рассмотрим', 'предложение');1
('рассмотрим', 'предложение', 'н');1
('предложение', 'н', 'вяткиной');1
('н', 'вяткиной', 'эффективности');1
('вяткиной', 'эффективности', 'привязки');1
('эффективности', 'привязки', 'планов');1
('планов', 'уроков', 'заданий');1
('уроков', 'заданий', 'работе');1
('заданий', 'работе', 'корпусом');1
('работе', 'корпусом', 'конкретным');1
('языка', 'обзор', 'готовых');1
('русского', 'языка', 'обзор');1
('портал', 'национального', 'корпуса');1
('обновленная', 'мае', 'г');1
('режиме', 'кафедре', 'математической');1
('кафедре', 'математической', 'лингвистики');1
('математической', 'лингвистики', 'спбгу');1
('лингвистики', 'спбгу', 'г');1
('спбгу', 'г', 'обновленная');1
('г', 'обновленная', 'мае');1
('мае', 'г', 'версия');1
('образовательный', 'портал', 'национального');1
('г', 'версия', 'нкря');1
('версия', 'нкря', 'содержит');1
('нкря', 'содержит', 'существенно');1
('содержит', 'существенно', 'расширенный');1
('существенно', 'расширенный', 'образовательный');1
('расширенный', 'образовательный', 'портал');1
('корпусом', 'конкретным', 'корпусам');1
('конкретным', 'корпусам', 'взгляд');1
('корпусам', 'взгляд', 'показаться');1
('специального', 'корпуса', 'дополнительным');1
('стр', 'инструкция', 'соса');1
('инструкция', 'соса', 'стр');1
('соса', 'стр', 'дополнительными');1
('стр', 'дополнительными', 'инструкциями');1
('дополнительными', 'инструкциями', 'созданию');1
('инструкциями', 'созданию', 'собственного');1
('корпуса', 'дополнительным', 'инструментам');1
('никря', 'содержит', 'стр');1
('дополнительным', 'инструментам', 'режима');1
('инструментам', 'режима', 'просмотра');1
('режима', 'просмотра', 'т');1
('просмотра', 'т', 'д');1
('т', 'д', 'н');1
('д', 'н', 'вяткина');1
('содержит', 'стр', 'инструкция');1
('инструкция', 'никря', 'содержит');1
('взгляд', 'показаться', 'больших');1
('соса', 'проблема', 'неактуальна');1
('показаться', 'больших', 'онлайн');1
('больших', 'онлайн', 'корпусов');1
('онлайн', 'корпусов', 'таких');1
('корпусов', 'таких', 'нкря');1
('таких', 'нкря', 'соса');1
('нкря', 'соса', 'проблема');1
('проблема', 'неактуальна', 'т');1
('объема', 'инструкция', 'никря');1
('неактуальна', 'т', 'снабжены');1
('т', 'снабжены', 'инструкциями');1
('снабжены', 'инструкциями', 'пользователя');1
('инструкциями', 'пользователя', 'внушительного');1
('пользователя', 'внушительного', 'объема');1
('внушительного', 'объема', 'инструкция');1
('грамматических', 'характеристик', 'слов');1
('слов', 'помощью', 'примеров');1
('числа', 'паролю', 'доступен');1
('лица', 'множественного', 'числа');1
('рамках', 'которых', 'изучаются');1
('которых', 'изучаются', 'реальные');1
('изучаются', 'реальные', 'явления');1
('реальные', 'явления', 'современного');1
('явления', 'современного', 'английского');1
('современного', 'английского', 'языка');1
('английского', 'языка', 'отраженные');1
('языка', 'отраженные', 'учебниках');1
('отраженные', 'учебниках', 'английской');1
('учебниках', 'английской', 'грамматики');1
('английской', 'грамматики', 'например');1
('грамматики', 'например', 'изменение');1
('например', 'изменение', 'функции');1
('изменение', 'функции', 'местоимения');1
('функции', 'местоимения', 'лица');1
('рубрикам', 'рамках', 'которых');1
('уроки', 'рубрикам', 'рамках');1
('разработаны', 'уроки', 'рубрикам');1
('английских', 'школ', 'задания');1
('язык', 'иностранный', 'выборки');1
('иностранный', 'выборки', 'представлены');1
('выборки', 'представлены', 'платформе');1
('представлены', 'платформе', 'выпускников');1
('платформе', 'выпускников', 'английских');1
('выпускников', 'английских', 'школ');1
('школ', 'задания', 'представлены');1
('иностранный', 'разработаны', 'уроки');1
('задания', 'представлены', 'следующим');1
('представлены', 'следующим', 'рубрикам');1
('следующим', 'рубрикам', 'категориям');1
('рубрикам', 'категориям', 'изучающих');1
('категориям', 'изучающих', 'английский');1
('язык', 'иностранный', 'разработаны');1
('местоимения', 'лица', 'множественного');1
('множественного', 'числа', 'способы');1
('помощью', 'примеров', 'корпуса');1
('числа', 'способы', 'выражения');1
('конкордансных', 'строк', 'трансформация');1
('строк', 'трансформация', 'обсуждение');1
('трансформация', 'обсуждение', 'предлагаемых');1
('обсуждение', 'предлагаемых', 'обязательным');1
('предлагаемых', 'обязательным', 'использованием');1
('обязательным', 'использованием', 'изучаемого');1
('англо', 'китайского', 'корпуса');1
('изучаемого', 'грамматического', 'явления');1
('грамматического', 'явления', 'данном');1
('явления', 'данном', 'случае');1
('данном', 'случае', 'функции');1
('случае', 'функции', 'лица');1
('функции', 'лица', 'ед');1
('лица', 'ед', 'числа');1
('ед', 'числа', 'паролю');1
('анализ', 'конкордансных', 'строк');1
('правило', 'анализ', 'конкордансных');1
('иллюстрирующего', 'правило', 'анализ');1
('материалы', 'каждой', 'теме');1
('способы', 'выражения', 'множественного');1
('выражения', 'множественного', 'числа');1
('множественного', 'числа', 'лице');1
('числа', 'лице', 'учебные');1
('лице', 'учебные', 'материалы');1
('учебные', 'материалы', 'каждой');1
('каждой', 'теме', 'включают');1
('абзаца', 'иллюстрирующего', 'правило');1
('теме', 'включают', 'раздаточные');1
('включают', 'раздаточные', 'упражнения');1
('раздаточные', 'упражнения', 'задания');1
('упражнения', 'задания', 'чтение');1
('задания', 'чтение', 'абзаца');1
('чтение', 'абзаца', 'иллюстрирующего');1
('школы', 'изучающих', 'английский');1
('средней', 'школы', 'изучающих');1
('курсу', 'средней', 'школы');1
('экзамен', 'курсу', 'средней');1
('базовый', 'поиск', 'временная');1
('поиск', 'временная', 'ось');1
('временная', 'ось', 'визуализация');1
('ось', 'визуализация', 'коллокаций');1
('визуализация', 'коллокаций', 'облако');1
('коллокаций', 'облако', 'слов');1
('облако', 'слов', 'др');1
('слов', 'др', 'другим');1
('др', 'другим', 'блестящим');1
('другим', 'блестящим', 'примером');1
('блестящим', 'примером', 'создания');1
('примером', 'создания', 'оор');1
('создания', 'оор', 'преподавания');1
('оор', 'преподавания', 'ия');1
('преподавания', 'ия', 'основе');1
('корпуса', 'базовый', 'поиск');1
('инструментам', 'корпуса', 'базовый');1
('разным', 'инструментам', 'корпуса');1
('словосочетаний', 'учебниках', 'примерами');1
('примеров', 'корпуса', 'верификация');1
('корпуса', 'верификация', 'примеров');1
('верификация', 'примеров', 'употребления');1
('примеров', 'употребления', 'слов');1
('употребления', 'слов', 'словосочетаний');1
('слов', 'словосочетаний', 'учебниках');1
('учебниках', 'примерами', 'корпуса');1
('соответствуют', 'разным', 'инструментам');1
('примерами', 'корпуса', 'примеры');1
('корпуса', 'примеры', 'заданий');1
('примеры', 'заданий', 'приведенные');1
('заданий', 'приведенные', 'статье');1
('приведенные', 'статье', 'соответствуют');1
('статье', 'соответствуют', 'разным');1
('ия', 'основе', 'конкретного');1
('основе', 'конкретного', 'корпуса');1
('конкретного', 'корпуса', 'является');1
('уроки', 'разработаны', 'носителей');1
('беседы', 'носителей', 'британского');1
('носителей', 'британского', 'варианта');1
('британского', 'варианта', 'английского');1
('варианта', 'английского', 'языка');1
('английского', 'языка', 'уроки');1
('языка', 'уроки', 'разработаны');1
('разработаны', 'носителей', 'английского');1
('представляющих', 'неформальные', 'беседы');1
('носителей', 'английского', 'языка');1
('английского', 'языка', 'готовящихся');1
('языка', 'готовящихся', 'сдать');1
('готовящихся', 'сдать', 'итоговый');1
('сдать', 'итоговый', 'экзамен');1
('итоговый', 'экзамен', 'курсу');1
('неформальные', 'беседы', 'носителей');1
('х', 'представляющих', 'неформальные');1
('корпуса', 'является', 'проект');1
('д', 'габласовой', 'учебные');1
('является', 'проект', 'создаваемый');1
('проект', 'создаваемый', 'ланкастерском');1
('создаваемый', 'ланкастерском', 'университете');1
('ланкастерском', 'университете', 'руководством');1
('университете', 'руководством', 'д');1
('руководством', 'д', 'габласовой');1
('габласовой', 'учебные', 'материалы');1
('речи', 'х', 'представляющих');1
('учебные', 'материалы', 'привязаны');1
('материалы', 'привязаны', 'большим');1
('привязаны', 'большим', 'выборкам');1
('большим', 'выборкам', 'устной');1
('выборкам', 'устной', 'речи');1
('устной', 'речи', 'х');1
('параллельного', 'англо', 'китайского');1
('школьники', 'учащиеся', 'средних');1
('китайского', 'корпуса', 'каждой');1
('верные', 'слова', 'нкря');1
('ресурсного', 'центра', 'канзасского');1
('центра', 'канзасского', 'университета');1
('канзасского', 'университета', 'материалах');1
('университета', 'материалах', 'габласовой');1
('материалах', 'габласовой', 'устному');1
('габласовой', 'устному', 'компоненту');1
('устному', 'компоненту', 'сайте');1
('компоненту', 'сайте', 'планах');1
('сайте', 'планах', 'мини');1
('планах', 'мини', 'уроков');1
('мини', 'уроков', 'каждому');1
('уроков', 'каждому', 'видеофрагменту');1
('каждому', 'видеофрагменту', 'сайте');1
('видеофрагменту', 'сайте', 'разделе');1
('сайте', 'разделе', 'верные');1
('языкового', 'ресурсного', 'центра');1
('проекта', 'языкового', 'ресурсного');1
('сайте', 'проекта', 'языкового');1
('привязке', 'определенному', 'корпусу');1
('идея', 'н', 'вяткиной');1
('н', 'вяткиной', 'разработке');1
('вяткиной', 'разработке', 'учебных');1
('разработке', 'учебных', 'материалов');1
('учебных', 'материалов', 'привязке');1
('материалов', 'привязке', 'определенному');1
('определенному', 'корпусу', 'реализована');1
('вяткиной', 'сайте', 'проекта');1
('корпусу', 'реализована', 'х');1
('реализована', 'х', 'рассмотренных');1
('х', 'рассмотренных', 'ресурсах');1
('рассмотренных', 'ресурсах', 'материалах');1
('ресурсах', 'материалах', 'вяткиной');1
('материалах', 'вяткиной', 'сайте');1
('разделе', 'верные', 'слова');1
('слова', 'нкря', 'двух');1
('заданиями', 'план', 'полноценного');1
('нкря', 'двух', 'других');1
('задачи', 'определенной', 'категорией');1
('определенной', 'категорией', 'обучающихся');1
('категорией', 'обучающихся', 'требует');1
('обучающихся', 'требует', 'дальнейшего');1
('дальнейшего', 'исследования', 'вопрос');1
('исследования', 'вопрос', 'том');1
('вопрос', 'том', 'эффективнее');1
('том', 'эффективнее', 'методически');1
('эффективнее', 'методически', 'целесообразнее');1
('методически', 'целесообразнее', 'х');1
('целесообразнее', 'х', 'страничный');1
('х', 'страничный', 'план');1
('страничный', 'план', 'мини');1
('план', 'мини', 'урока');1
('мини', 'урока', 'заданиями');1
('педагогической', 'задачи', 'определенной');1
('определенной', 'педагогической', 'задачи');1
('решения', 'определенной', 'педагогической');1
('фолл', 'ма', 'содержатся');1
('двух', 'других', 'случаях');1
('других', 'случаях', 'оор');1
('случаях', 'оор', 'созданных');1
('оор', 'созданных', 'руководством');1
('созданных', 'руководством', 'фолл');1
('руководством', 'фолл', 'ма');1
('ма', 'содержатся', 'учебные');1
('корпусов', 'решения', 'определенной');1
('содержатся', 'учебные', 'материалы');1
('учебные', 'материалы', 'созданные');1
('материалы', 'созданные', 'базе');1
('созданные', 'базе', 'разных');1
('базе', 'разных', 'корпусов');1
('разных', 'корпусов', 'решения');1
('привлекательная', 'идея', 'н');1
('исследования', 'привлекательная', 'идея');1
('дальнейшего', 'исследования', 'привлекательная');1
('предложений', 'требует', 'дальнейшего');1
('ресурсами', 'строгом', 'смысле');1
('строгом', 'смысле', 'этого');1
('смысле', 'этого', 'слова');1
('этого', 'слова', 'т');1
('слова', 'т', 'е');1
('т', 'е', 'обладают');1
('е', 'обладают', 'базовыми');1
('обладают', 'базовыми', 'характеристиками');1
('базовыми', 'характеристиками', 'оор');1
('характеристиками', 'оор', 'описанными');1
('оор', 'описанными', 'литературе');1
('описанными', 'литературе', 'свободный');1
('литературе', 'свободный', 'доступ');1
('свободный', 'доступ', 'ним');1
('доступ', 'ним', 'делает');1
('образовательными', 'ресурсами', 'строгом');1
('являются', 'открытыми', 'образовательными');1
('ресурсы', 'являются', 'открытыми');1
('лингводидактики', 'повседневную', 'педагогическую');1
('юнеско', 'помочь', 'широкому');1
('помочь', 'широкому', 'внедрению');1
('широкому', 'внедрению', 'методов');1
('внедрению', 'методов', 'корпусной');1
('методов', 'корпусной', 'лингводидактики');1
('корпусной', 'лингводидактики', 'повседневную');1
('повседневную', 'педагогическую', 'практику');1
('корпуса', 'ресурсы', 'являются');1
('педагогическую', 'практику', 'преподавателей');1
('практику', 'преподавателей', 'иностранных');1
('преподавателей', 'иностранных', 'языков');1
('иностранных', 'языков', 'доступные');1
('языков', 'доступные', 'онлайн');1
('онлайн', 'корпуса', 'ресурсы');1
('ним', 'делает', 'ценными');1
('делает', 'ценными', 'инструментами');1
('ценными', 'инструментами', 'самообразования');1
('уроков', 'созданных', 'оор');1
('корпусных', 'данных', 'анализ');1
