bigram;freq
('видео', 'можно');1
('статьи', 'важно');1
('версии', 'такая');1
('бесплатной', 'версии');1
('можно', 'остановить');1
('месяц', 'другая');1
('др', 'видеофрагмент');1
('лексики', 'контексте');1
('уровнем', 'сложности');1
('длится', 'минуты');1
('незнакомой', 'лексики');1
('категориях', 'др');1
('курсов', 'категориях');1
('мини', 'курсов');1
('минуты', 'показ');1
('остановить', 'любом');1
('тестирования', 'незнакомой');1
('сложности', 'мини');1
('касается', 'тестирования');1
('версии', 'касается');1
('платной', 'версии');1
('возможность', 'платной');1
('другая', 'возможность');1
('видеофрагмент', 'длится');1
('системой', 'автоматически');1
('месте', 'прослушать');1
('диктора', 'бесплатной');1
('важно', 'отметить');1
('пользователю', 'предлагают');1
('фрагмент', 'спектрограммой');1
('произнесенный', 'фрагмент');1
('сравнивает', 'произнесенный');1
('автоматически', 'сравнивает');1
('предлагают', 'посмотреть');1
('которая', 'автоматически');1
('посмотреть', 'тематически');1
('тематически', 'близких');1
('близких', 'видео');1
('видео', 'выбранного');1
('спектрограммой', 'речи');1
('записи', 'речи');1
('технология', 'записи');1
('выбранного', 'уровня');1
('передовая', 'технология');1
('уровня', 'сложности');1
('сложности', 'которые');1
('интегрирована', 'передовая');1
('систему', 'интегрирована');1
('автоматически', 'систему');1
('которые', 'подбираются');1
('урока', 'пользователю');1
('диктора', 'оценивая');1
('произношение', 'речи');1
('примеры', 'употребления');1
('любом', 'месте');1
('приблизить', 'произношение');1
('подбираются', 'системой');1
('пытаясь', 'приблизить');1
('прослушать', 'незнакомое');1
('попытки', 'пытаясь');1
('повторять', 'попытки');1
('незнакомое', 'слово');1
('слово', 'увидеть');1
('увидеть', 'примеры');1
('неоднократно', 'повторять');1
('оценивая', 'близость');1
('употребления', 'всплывающем');1
('всплывающем', 'окне');1
('окне', 'затем');1
('учащийся', 'неоднократно');1
('затем', 'вернуться');1
('процентах', 'учащийся');1
('попытки', 'процентах');1
('вернуться', 'просмотру');1
('просмотру', 'видео');1
('близость', 'попытки');1
('речи', 'которая');1
('корпусная', 'лингводидактика');1
('отметить', 'каждого');1
('высказать', 'собственное');1
('платформа', 'созданная');1
('является', 'платформа');1
('ия', 'является');1
('обучение', 'ия');1
('лингвистики', 'обучение');1
('интегрированию', 'корпусной');1
('практикой', 'интегрированию');1
('успешной', 'практикой');1
('одной', 'успешной');1
('урока', 'одной');1
('информации', 'видео');1
('основе', 'информации');1
('мнение', 'основе');1
('собственное', 'мнение');1
('побуждают', 'высказать');1
('каждого', 'видео');1
('вопроса', 'побуждают');1
('других', 'вопроса');1
('видеосюжета', 'других');1
('идею', 'видеосюжета');1
('основную', 'идею');1
('сформулировать', 'основную');1
('кратко', 'сформулировать');1
('просит', 'кратко');1
('й', 'просит');1
('обсуждения', 'й');1
('вопроса', 'обсуждения');1
('предлагает', 'вопроса');1
('задание', 'предлагает');1
('даны', 'задание');1
('созданная', 'кафедре');1
('кафедре', 'лингвистики');1
('лингвистики', 'современных');1
('современных', 'языков');1
('разработанных', 'планов');1
('детально', 'разработанных');1
('материалов', 'детально');1
('примеры', 'учебных');1
('помещены', 'примеры');1
('разделе', 'помещены');1
('др', 'разделе');1
('корпусом', 'др');1
('параллельным', 'корпусом');1
('работе', 'параллельным');1
('навыков', 'работе');1
('развития', 'письменных');1
('произношения', 'развития');1
('грамматики', 'произношения');1
('минут', 'грамматики');1
('видеоролики', 'продолжительностью');1
('учебные', 'видеоролики');1
('небольшие', 'учебные');1
('лингводидактики', 'небольшие');1
('лингвистики', 'лингводидактики');1
('преподавателей', 'области');1
('квалификации', 'самообразования');1
('материалы', 'повышения');1
('представлены', 'материалы');1
('платформе', 'представлены');1
('руководством', 'платформе');1
('гонконга', 'руководством');1
('университете', 'гонконга');1
('языков', 'университете');1
('ответы', 'даны');1
('выбора', 'ответы');1
('множественного', 'выбора');1
('отдельные', 'предложения');1
('ответ', 'выбрать');1
('правильный', 'ответ');1
('получить', 'правильный');1
('пробелу', 'получить');1
('кликнув', 'пробелу');1
('слов', 'кликнув');1
('пропущенное', 'слов');1
('прослушать', 'пропущенное');1
('впечатанного', 'пробел');1
('словаря', 'впечатанного');1
('определения', 'словаря');1
('виде', 'определения');1
('подсказку', 'виде');1
('получить', 'подсказку');1
('контекстом', 'получить');1
('пользуясь', 'контекстом');1
('памяти', 'пользуясь');1
('заполнить', 'памяти');1
('можно', 'заполнить');1
('слов', 'которые');1
('нескольких', 'слов');1
('пропусками', 'нескольких');1
('заданий', 'пропусками');1
('х', 'заданий');1
('состоит', 'х');1
('урока', 'состоит');1
('интерактивный', 'план');1
('имеется', 'интерактивный');1
('урока', 'имеется');1
('выбрать', 'отдельные');1
('предложения', 'последующей');1
('формате', 'множественного');1
('последующей', 'практики');1
('видеосюжета', 'формате');1
('понимание', 'видеосюжета');1
('вопроса', 'понимание');1
('содержит', 'вопроса');1
('задание', 'содержит');1
('деактивирована', 'задание');1
('умолчанию', 'деактивирована');1
('которая', 'умолчанию');1
('функции', 'которая');1
('активации', 'функции');1
('ответов', 'активации');1
('возможных', 'ответов');1
('качестве', 'возможных');1
('приводятся', 'качестве');1
('видеосюжета', 'приводятся');1
('предложения', 'видеосюжета');1
('являются', 'предложения');1
('предпочтительными', 'являются');1
('задании', 'предпочтительными');1
('тренировались', 'задании');1
('которые', 'тренировались');1
('словами', 'которые');1
('предложения', 'словами');1
('собственные', 'предложения');1
('составить', 'собственные');1
('должны', 'составить');1
('учащиеся', 'должны');1
('задании', 'учащиеся');1
('практики', 'задании');1
('пробел', 'прослушать');1
('одним', 'примером');1
('указанным', 'уровнем');1
('основным', 'фокусом');1
('работу', 'парах');1
('парах', 'малых');1
('малых', 'группах');1
('группах', 'введение');1
('материала', 'преподавателем');1
('преподавателем', 'основным');1
('фокусом', 'является');1
('видео', 'указанным');1
('запаса', 'задания');1
('задания', 'могут');1
('могут', 'включать');1
('включать', 'освоение');1
('освоение', 'новых');1
('новых', 'лексико');1
('работу', 'работу');1
('индивидуальную', 'работу');1
('работы', 'индивидуальную');1
('формат', 'работы');1
('разный', 'формат');1
('предполагающих', 'разный');1
('продвинутых', 'предполагающих');1
('начинающих', 'продвинутых');1
('языком', 'начинающих');1
('немецким', 'языком');1
('владения', 'немецким');1
('уровнем', 'владения');1
('разным', 'уровнем');1
('учащихся', 'разным');1
('языка', 'учащихся');1
('немецкого', 'языка');1
('корпусу', 'немецкого');1
('лексико', 'грамматических');1
('грамматических', 'характеристик');1
('характеристик', 'слов');1
('разным', 'инструментам');1
('примером', 'создания');1
('блестящим', 'примером');1
('другим', 'блестящим');1
('др', 'другим');1
('слов', 'др');1
('облако', 'слов');1
('коллокаций', 'облако');1
('визуализация', 'коллокаций');1
('ось', 'визуализация');1
('временная', 'ось');1
('поиск', 'временная');1
('базовый', 'поиск');1
('корпуса', 'базовый');1
('инструментам', 'корпуса');1
('соответствуют', 'разным');1
('слов', 'помощью');1
('статье', 'соответствуют');1
('приведенные', 'статье');1
('заданий', 'приведенные');1
('корпуса', 'примеры');1
('примерами', 'корпуса');1
('учебниках', 'примерами');1
('словосочетаний', 'учебниках');1
('слов', 'словосочетаний');1
('употребления', 'слов');1
('примеров', 'употребления');1
('верификация', 'примеров');1
('корпуса', 'верификация');1
('примеров', 'корпуса');1
('помощью', 'примеров');1
('обращений', 'корпусу');1
('заданий', 'обращений');1
('описывает', 'примеры');1
('пользователя', 'внушительного');1
('инструментам', 'режима');1
('дополнительным', 'инструментам');1
('корпуса', 'дополнительным');1
('инструкциями', 'созданию');1
('дополнительными', 'инструкциями');1
('стр', 'дополнительными');1
('соса', 'стр');1
('инструкция', 'соса');1
('стр', 'инструкция');1
('содержит', 'стр');1
('никря', 'содержит');1
('инструкция', 'никря');1
('объема', 'инструкция');1
('внушительного', 'объема');1
('инструкциями', 'пользователя');1
('просмотра', 'т');1
('снабжены', 'инструкциями');1
('т', 'снабжены');1
('неактуальна', 'т');1
('проблема', 'неактуальна');1
('соса', 'проблема');1
('нкря', 'соса');1
('таких', 'нкря');1
('корпусов', 'таких');1
('больших', 'онлайн');1
('показаться', 'больших');1
('взгляд', 'показаться');1
('корпусам', 'взгляд');1
('конкретным', 'корпусам');1
('корпусом', 'конкретным');1
('режима', 'просмотра');1
('д', 'н');1
('статьях', 'описывает');1
('принципах', 'подразумевающих');1
('своих', 'статьях');1
('самостоятельно', 'своих');1
('выполняемым', 'самостоятельно');1
('заданиям', 'выполняемым');1
('преподавателя', 'заданиям');1
('стороны', 'преподавателя');1
('поддержки', 'стороны');1
('большей', 'поддержки');1
('сложному', 'большей');1
('простого', 'сложному');1
('вовлечение', 'простого');1
('сопровождение', 'вовлечение');1
('материала', 'сопровождение');1
('подразумевающих', 'введение');1
('педагогических', 'принципах');1
('вяткина', 'указывает');1
('базироваться', 'педагогических');1
('должны', 'базироваться');1
('преподавателей', 'должны');1
('инструкции', 'преподавателей');1
('мнению', 'инструкции');1
('корпусов', 'мнению');1
('уроков', 'использованием');1
('учителю', 'планов');1
('знакомых', 'учителю');1
('далеки', 'знакомых');1
('пользователя', 'далеки');1
('руководства', 'пользователя');1
('эти', 'руководства');1
('указывает', 'эти');1
('создания', 'оор');1
('оор', 'преподавания');1
('ия', 'основе');1
('строк', 'трансформация');1
('паролю', 'доступен');1
('числа', 'паролю');1
('ед', 'числа');1
('лица', 'ед');1
('функции', 'лица');1
('случае', 'функции');1
('явления', 'данном');1
('грамматического', 'явления');1
('изучаемого', 'грамматического');1
('использованием', 'изучаемого');1
('обязательным', 'использованием');1
('предлагаемых', 'обязательным');1
('обсуждение', 'предлагаемых');1
('трансформация', 'обсуждение');1
('конкордансных', 'строк');1
('файл', 'ответами');1
('анализ', 'конкордансных');1
('правило', 'анализ');1
('иллюстрирующего', 'правило');1
('абзаца', 'иллюстрирующего');1
('чтение', 'абзаца');1
('задания', 'чтение');1
('упражнения', 'задания');1
('раздаточные', 'упражнения');1
('включают', 'раздаточные');1
('теме', 'включают');1
('каждой', 'теме');1
('материалы', 'каждой');1
('лице', 'учебные');1
('числа', 'лице');1
('доступен', 'файл');1
('ответами', 'комментариями');1
('способы', 'выражения');1
('строк', 'аудиозаписей');1
('отдельных', 'видео');1
('тысячи', 'отдельных');1
('содержит', 'тысячи');1
('контент', 'содержит');1
('видео', 'контент');1
('новых', 'видео');1
('добавляется', 'новых');1
('неделю', 'добавляется');1
('каждую', 'неделю');1
('говорения', 'каждую');1
('аудирования', 'говорения');1
('навыков', 'аудирования');1
('развития', 'навыков');1
('аудиозаписей', 'развития');1
('млн', 'строк');1
('комментариями', 'преподавателя');1
('видео', 'млн');1
('содержит', 'видео');1
('технологий', 'содержит');1
('корпусных', 'технологий');1
('использованием', 'корпусных');1
('создан', 'использованием');1
('ресурс', 'создан');1
('мультимедийный', 'ресурс');1
('является', 'мультимедийный');1
('корпусу', 'является');1
('уроков', 'корпусу');1
('примером', 'привязки');1
('мин', 'категориям');1
('преподавателя', 'одним');1
('выражения', 'множественного');1
('числа', 'способы');1
('основе', 'конкретного');1
('х', 'представляющих');1
('итоговый', 'экзамен');1
('сдать', 'итоговый');1
('готовящихся', 'сдать');1
('языка', 'готовящихся');1
('носителей', 'английского');1
('разработаны', 'носителей');1
('уроки', 'разработаны');1
('языка', 'уроки');1
('варианта', 'английского');1
('британского', 'варианта');1
('носителей', 'британского');1
('беседы', 'носителей');1
('неформальные', 'беседы');1
('представляющих', 'неформальные');1
('речи', 'х');1
('курсу', 'средней');1
('устной', 'речи');1
('выборкам', 'устной');1
('большим', 'выборкам');1
('привязаны', 'большим');1
('материалы', 'привязаны');1
('габласовой', 'учебные');1
('д', 'габласовой');1
('руководством', 'д');1
('университете', 'руководством');1
('создаваемый', 'ланкастерском');1
('проект', 'создаваемый');1
('является', 'проект');1
('корпуса', 'является');1
('конкретного', 'корпуса');1
('экзамен', 'курсу');1
('школы', 'изучающих');1
('лица', 'множественного');1
('рамках', 'которых');1
('местоимения', 'лица');1
('функции', 'местоимения');1
('изменение', 'функции');1
('например', 'изменение');1
('грамматики', 'например');1
('английской', 'грамматики');1
('учебниках', 'английской');1
('отраженные', 'учебниках');1
('языка', 'отраженные');1
('современного', 'английского');1
('явления', 'современного');1
('реальные', 'явления');1
('изучаются', 'реальные');1
('которых', 'изучаются');1
('рубрикам', 'рамках');1
('иностранный', 'выборки');1
('уроки', 'рубрикам');1
('разработаны', 'уроки');1
('иностранный', 'разработаны');1
('категориям', 'изучающих');1
('рубрикам', 'категориям');1
('следующим', 'рубрикам');1
('представлены', 'следующим');1
('задания', 'представлены');1
('школ', 'задания');1
('английских', 'школ');1
('выпускников', 'английских');1
('платформе', 'выпускников');1
('представлены', 'платформе');1
('выборки', 'представлены');1
('уроков', 'продолжительностью');1
('запаса', 'использование');1
('категориям', 'обучение');1
('канзасского', 'университета');1
('нкря', 'двух');1
('слова', 'нкря');1
('разделе', 'верные');1
('сайте', 'разделе');1
('видеофрагменту', 'сайте');1
('каждому', 'видеофрагменту');1
('уроков', 'каждому');1
('планах', 'мини');1
('сайте', 'планах');1
('компоненту', 'сайте');1
('устному', 'компоненту');1
('габласовой', 'устному');1
('материалах', 'габласовой');1
('университета', 'материалах');1
('центра', 'канзасского');1
('других', 'случаях');1
('ресурсного', 'центра');1
('языкового', 'ресурсного');1
('проекта', 'языкового');1
('сайте', 'проекта');1
('вяткиной', 'сайте');1
('материалах', 'вяткиной');1
('ресурсах', 'материалах');1
('рассмотренных', 'ресурсах');1
('х', 'рассмотренных');1
('реализована', 'х');1
('корпусу', 'реализована');1
('определенному', 'корпусу');1
('привязке', 'определенному');1
('материалов', 'привязке');1
('двух', 'других');1
('случаях', 'оор');1
('вяткиной', 'разработке');1
('категорией', 'обучающихся');1
('план', 'полноценного');1
('заданиями', 'план');1
('урока', 'заданиями');1
('мини', 'урока');1
('план', 'мини');1
('страничный', 'план');1
('х', 'страничный');1
('целесообразнее', 'х');1
('методически', 'целесообразнее');1
('эффективнее', 'методически');1
('том', 'эффективнее');1
('вопрос', 'том');1
('исследования', 'вопрос');1
('обучающихся', 'требует');1
('определенной', 'категорией');1
('оор', 'созданных');1
('задачи', 'определенной');1
('педагогической', 'задачи');1
('определенной', 'педагогической');1
('решения', 'определенной');1
('корпусов', 'решения');1
('разных', 'корпусов');1
('базе', 'разных');1
('созданные', 'базе');1
('материалы', 'созданные');1
('содержатся', 'учебные');1
('ма', 'содержатся');1
('фолл', 'ма');1
('руководством', 'фолл');1
('созданных', 'руководством');1
('разработке', 'учебных');1
('идея', 'н');1
('урока', 'продолжительностью');1
('преподавателей', 'иностранных');1
('характеристиками', 'оор');1
('базовыми', 'характеристиками');1
('обладают', 'базовыми');1
('е', 'обладают');1
('т', 'е');1
('слова', 'т');1
('этого', 'слова');1
('смысле', 'этого');1
('строгом', 'смысле');1
('ресурсами', 'строгом');1
('являются', 'открытыми');1
('ресурсы', 'являются');1
('корпуса', 'ресурсы');1
('языков', 'доступные');1
('практику', 'преподавателей');1
('описанными', 'литературе');1
('повседневную', 'педагогическую');1
('лингводидактики', 'повседневную');1
('методов', 'корпусной');1
('внедрению', 'методов');1
('широкому', 'внедрению');1
('помочь', 'широкому');1
('юнеско', 'помочь');1
('поддерживаемый', 'оон');1
('всемерно', 'поддерживаемый');1
('информацию', 'всемерно');1
('тренд', 'открытое');1
('показал', 'тренд');1
('анализ', 'показал');1
('выводы', 'проведенный');1
('оор', 'описанными');1
('литературе', 'свободный');1
('привлекательная', 'идея');1
('материалы', 'основе');1
('исследования', 'привлекательная');1
('предложений', 'требует');1
('высказанных', 'предложений');1
('идей', 'высказанных');1
('вопросов', 'идей');1
('ряд', 'вопросов');1
('показал', 'ряд');1
('оор', 'показал');1
('уроков', 'созданных');1
('материалов', 'планов');1
('анализ', 'учебных');1
('данных', 'анализ');1
('корпусных', 'данных');1
('основе', 'корпусных');1
('разрабатывать', 'учебные');1
('свободный', 'доступ');1
('практике', 'разрабатывать');1
('своей', 'практике');1
('лингвистики', 'своей');1
('подходы', 'корпусной');1
('использовать', 'подходы');1
('понять', 'можно');1
('уровень', 'понять');1
('профессиональный', 'уровень');1
('повысить', 'профессиональный');1
('желающих', 'повысить');1
('инструментами', 'самообразования');1
('ценными', 'инструментами');1
('делает', 'ценными');1
('ним', 'делает');1
('полноценного', 'урока');1
('минут', 'ма');1
('информативным', 'блогом');1
('самых', 'разных');1
('использовать', 'собственной');1
('начнут', 'использовать');1
('лингвистики', 'начнут');1
('подходами', 'корпусной');1
('знакомые', 'подходами');1
('преподаватели', 'знакомые');1
('того', 'преподаватели');1
('вероятность', 'того');1
('увеличивая', 'вероятность');1
('гибкость', 'увеличивая');1
('необходимую', 'гибкость');1
('самым', 'необходимую');1
('обеспечивая', 'самым');1
('разных', 'обеспечивая');1
('прохождении', 'самых');1
('практике', 'наконец');1
('пятиминуток', 'прохождении');1
('корпусных', 'пятиминуток');1
('виде', 'корпусных');1
('интегрированы', 'виде');1
('могут', 'интегрированы');1
('легко', 'могут');1
('уроки', 'легко');1
('мини', 'уроки');1
('эти', 'мини');1
('создателями', 'эти');1
('реализованной', 'создателями');1
('модели', 'реализованной');1
('учебнику', 'модели');1
('конкретному', 'учебнику');1
('собственной', 'практике');1
('наконец', 'совершенно');1
('качестве', 'дополнения');1
('заслуживает', 'всяческого');1
('внимание', 'проектной');1
('первостепенное', 'внимание');1
('уделяют', 'первостепенное');1
('стандарты', 'уделяют');1
('российские', 'стандарты');1
('условиях', 'российские');1
('особенно', 'условиях');1
('заведениях', 'особенно');1
('учебных', 'заведениях');1
('разных', 'учебных');1
('внедрения', 'разных');1
('поддержки', 'внедрения');1
('внимания', 'поддержки');1
('всяческого', 'внимания');1
('деятельности', 'заслуживает');1
('совершенно', 'очевидно');1
('рамках', 'проектной');1
('разработке', 'рамках');1
('педагогов', 'разработке');1
('будущих', 'педагогов');1
('студентов', 'будущих');1
('вовлечения', 'студентов');1
('идея', 'вовлечения');1
('процесс', 'идея');1
('трудоемкий', 'процесс');1
('корпусов', 'трудоемкий');1
('оор', 'использованием');1
('качественных', 'оор');1
('создание', 'качественных');1
('очевидно', 'создание');1
('дополнения', 'конкретному');1
('уроков', 'качестве');1
('ма', 'объемом');1
('анализируют', 'используемые');1
('возможностей', 'исследовательской');1
('образцов', 'возможностей');1
('речевых', 'образцов');1
('разговорных', 'речевых');1
('аутентичных', 'разговорных');1
('примеров', 'аутентичных');1
('отсутствие', 'примеров');1
('например', 'отсутствие');1
('критикуют', 'например');1
('доказательно', 'критикуют');1
('учебники', 'доказательно');1
('основные', 'учебники');1
('ими', 'основные');1
('используемые', 'ими');1
('авторы', 'анализируют');1
('самостоятельной', 'работы');1
('лингвистики', 'авторы');1
('основе', 'подходов');1
('заданий', 'основе');1
('разработки', 'заданий');1
('источник', 'разработки');1
('ресурс', 'источник');1
('учебник', 'ресурс');1
('основной', 'учебник');1
('недооценивается', 'основной');1
('оор', 'недооценивается');1
('думается', 'созданных');1
('страниц', 'думается');1
('десятки', 'страниц');1
('объемом', 'десятки');1
('исследовательской', 'самостоятельной');1
('работы', 'обучающихся');1
('планов', 'мини');1
('учебнике', 'думается');1
('ряду', 'планов');1
('привести', 'ряду');1
('эффективной', 'привести');1
('весьма', 'эффективной');1
('учебника', 'весьма');1
('определенного', 'учебника');1
('основе', 'определенного');1
('темы', 'основе');1
('конкретной', 'темы');1
('изучения', 'конкретной');1
('лингвистики', 'изучения');1
('заданий', 'использованием');1
('разработка', 'заданий');1
('думается', 'разработка');1
('изучаются', 'учебнике');1
('обучающихся', 'далее');1
('раскрываются', 'изучаются');1
('темы', 'раскрываются');1
('эти', 'темы');1
('заданий', 'эти');1
('каких', 'заданий');1
('виде', 'каких');1
('каком', 'виде');1
('явно', 'каком');1
('мере', 'явно');1
('крайней', 'мере');1
('указания', 'крайней');1
('заданиями', 'указания');1
('дополняют', 'заданиями');1
('далее', 'дополняют');1
('блогом', 'выводы');1
('студентов', 'информативным');1
('обучение', 'лексике');1
('представляли', 'четкие');1
('решали', 'ходу');1
('проблему', 'решали');1
('эту', 'проблему');1
('классе', 'эту');1
('корпусов', 'классе');1
('уроков', 'использованию');1
('планы', 'уроков');1
('обоснованные', 'планы');1
('методически', 'обоснованные');1
('корпусах', 'методически');1
('разных', 'корпусах');1
('поиску', 'разных');1
('инструкции', 'поиску');1
('четкие', 'инструкции');1
('материалы', 'представляли');1
('своей', 'работы');1
('разработанные', 'материалы');1
('ошибки', 'разработанные');1
('типичной', 'ошибки');1
('избежать', 'типичной');1
('удалось', 'избежать');1
('студентам', 'удалось');1
('начале', 'студентам');1
('важно', 'начале');1
('семестров', 'важно');1
('х', 'семестров');1
('течение', 'х');1
('создавался', 'течение');1
('ресурс', 'создавался');1
('оор', 'ресурс');1
('ходу', 'своей');1
('работы', 'материалы');1
('своем', 'сайте');1
('английского', 'специальных');1
('корпусе', 'составления');1
('конкретном', 'корпусе');1
('материалов', 'конкретном');1
('поиска', 'материалов');1
('инструкцию', 'поиска');1
('подробную', 'инструкцию');1
('содержит', 'подробную');1
('глава', 'содержит');1
('каждая', 'глава');1
('языка', 'каждая');1
('ориентированного', 'языка');1
('профессионально', 'ориентированного');1
('целей', 'профессионально');1
('специальных', 'целей');1
('й', 'английского');1
('материалы', 'разработаны');1
('материалов', 'й');1
('разработанных', 'материалов');1
('использования', 'разработанных');1
('й', 'использования');1
('классов', 'средней');1
('старших', 'классов');1
('й', 'старших');1
('начальной', 'средней');1
('части', 'начальной');1
('й', 'части');1
('учащихся', 'й');1
('категории', 'учащихся');1
('конкретной', 'категории');1
('разработаны', 'конкретной');1
('сайте', 'оор');1
('разместила', 'своем');1
('конкретного', 'задания');1
('младшие', 'школьники');1
('близких', 'синонимов');1
('использование', 'близких');1
('заданий', 'работе');1
('формате', 'является');1
('навыков', 'формате');1
('развитию', 'письменных');1
('урока', 'развитию');1
('целью', 'урока');1
('например', 'целью');1
('вузов', 'например');1
('классов', 'вузов');1
('средних', 'классов');1
('учащиеся', 'средних');1
('школьники', 'учащиеся');1
('обучающихся', 'младшие');1
('уменьшить', 'употребление');1
('категорию', 'обучающихся');1
('указывающие', 'категорию');1
('подкатегории', 'указывающие');1
('есть', 'подкатегории');1
('категории', 'есть');1
('каждой', 'категории');1
('корпуса', 'каждой');1
('китайского', 'корпуса');1
('англо', 'китайского');1
('параллельного', 'англо');1
('основе', 'параллельного');1
('произношению', 'задания');1
('грамматике', 'произношению');1
('лексике', 'грамматике');1
('синонимов', 'уменьшить');1
('употребление', 'избыточно');1
('темам', 'разместила');1
('своими', 'студентами');1
('изучаемым', 'темам');1
('разным', 'изучаемым');1
('корпусов', 'разным');1
('открытых', 'онлайн');1
('материалов', 'открытых');1
('основе', 'материалов');1
('материалы', 'задания');1
('разработала', 'учебные');1
('языка', 'разработала');1
('иностранного', 'языка');1
('преподавателями', 'иностранного');1
('будущими', 'преподавателями');1
('магистрантами', 'будущими');1
('студентами', 'магистрантами');1
('вместе', 'своими');1
('избыточно', 'используемой');1
('фол', 'вместе');1
('элен', 'фол');1
('страницы', 'элен');1
('занимает', 'страницы');1
('урока', 'занимает');1
('дэвиса', 'план');1
('корпусов', 'дэвиса');1
('англоязычных', 'корпусов');1
('коллекции', 'англоязычных');1
('использованием', 'корпуса');1
('слова', 'использованием');1
('случае', 'слова');1
('лексики', 'данном');1
('используемой', 'лексики');1
('составления', 'конкретного');1
('задания', 'план');1
('школьников', 'студентов');1
('лексем', 'русского');1
('представления', 'ближе');1
('формат', 'представления');1
('гг', 'формат');1
('даниель', 'гг');1
('добрушиной', 'даниель');1
('р', 'добрушиной');1
('н', 'р');1
('руководством', 'н');1
('вшэ', 'руководством');1
('студентами', 'вшэ');1
('выполненный', 'студентами');1
('вв', 'выполненный');1
('протяжении', 'вв');1
('языка', 'протяжении');1
('употреблении', 'лексем');1
('формату', 'презентаций');1
('значении', 'употреблении');1
('изменений', 'значении');1
('описание', 'изменений');1
('изучение', 'описание');1
('направленного', 'изучение');1
('смыслы', 'направленного');1
('своевольные', 'смыслы');1
('проекта', 'своевольные');1
('результаты', 'проекта');1
('нкри', 'результаты');1
('разделе', 'сайта');1
('размещенные', 'разделе');1
('является', 'размещенные');1
('проекта', 'является');1
('ближе', 'формату');1
('презентаций', 'научных');1
('аналогом', 'этого');1
('работать', 'нкря');1
('старших', 'школьников');1
('игр', 'старших');1
('серией', 'игр');1
('подростков', 'серией');1
('летних', 'подростков');1
('задач', 'летних');1
