o --> UPOS: INTJ, Lemma: o, XPOS: UH, Feats: None
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
hold --> UPOS: VERB, Lemma: hold, XPOS: VBP, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin
in --> UPOS: ADP, Lemma: in, XPOS: IN, Feats: None
lease --> UPOS: NOUN, Lemma: lease, XPOS: NN, Feats: Number=Sing
find --> UPOS: VERB, Lemma: find, XPOS: VB, Feats: Mood=Imp|VerbForm=Fin
no --> UPOS: DET, Lemma: no, XPOS: DT, Feats: None
determination --> UPOS: NOUN, Lemma: determination, XPOS: NN, Feats: Number=Sing
then --> UPOS: ADV, Lemma: then, XPOS: RB, Feats: PronType=Dem
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
were --> UPOS: AUX, Lemma: be, XPOS: VBD, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Past|VerbForm=Fin
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
self --> UPOS: NOUN, Lemma: self, XPOS: NN, Feats: Number=Sing
again --> UPOS: ADV, Lemma: again, XPOS: RB, Feats: None
after --> UPOS: ADP, Lemma: after, XPOS: IN, Feats: None
yourself --> UPOS: PRON, Lemma: yourself, XPOS: PRP, Feats: Case=Acc|Number=Sing|Person=2|PronType=Prs|Reflex=Yes
's --> UPOS: PART, Lemma: 's, XPOS: POS, Feats: None
decease --> UPOS: NOUN, Lemma: decease, XPOS: NN, Feats: Number=Sing
when --> UPOS: ADV, Lemma: when, XPOS: WRB, Feats: PronType=Int
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
sweet --> UPOS: ADJ, Lemma: sweet, XPOS: JJ, Feats: Degree=Pos
issue --> UPOS: NOUN, Lemma: issue, XPOS: NN, Feats: Number=Sing
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
sweet --> UPOS: ADJ, Lemma: sweet, XPOS: JJ, Feats: Degree=Pos
form --> UPOS: NOUN, Lemma: form, XPOS: NN, Feats: Number=Sing
should --> UPOS: AUX, Lemma: should, XPOS: MD, Feats: VerbForm=Fin
bear --> UPOS: VERB, Lemma: bear, XPOS: VB, Feats: VerbForm=Inf
who --> UPOS: PRON, Lemma: who, XPOS: WP, Feats: PronType=Int
lets --> UPOS: VERB, Lemma: let, XPOS: VBZ, Feats: Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
so --> UPOS: ADV, Lemma: so, XPOS: RB, Feats: None
fair --> UPOS: VERB, Lemma: fair, XPOS: VB, Feats: VerbForm=Inf
a --> UPOS: DET, Lemma: a, XPOS: DT, Feats: Definite=Ind|PronType=Art
house --> UPOS: NOUN, Lemma: house, XPOS: NN, Feats: Number=Sing
fall --> UPOS: VERB, Lemma: fall, XPOS: VB, Feats: VerbForm=Inf
to --> UPOS: ADP, Lemma: to, XPOS: IN, Feats: None
decay --> UPOS: NOUN, Lemma: decay, XPOS: NN, Feats: Number=Sing
which --> UPOS: DET, Lemma: which, XPOS: WDT, Feats: PronType=Int
husbandry --> UPOS: NOUN, Lemma: husbandry, XPOS: NN, Feats: Number=Sing
in --> UPOS: ADP, Lemma: in, XPOS: IN, Feats: None
honour --> UPOS: NOUN, Lemma: honour, XPOS: NN, Feats: Number=Sing
might --> UPOS: AUX, Lemma: might, XPOS: MD, Feats: VerbForm=Fin
uphold --> UPOS: VERB, Lemma: uphold, XPOS: VB, Feats: VerbForm=Inf
against --> UPOS: ADP, Lemma: against, XPOS: IN, Feats: None
the --> UPOS: DET, Lemma: the, XPOS: DT, Feats: Definite=Def|PronType=Art
stormy --> UPOS: ADJ, Lemma: stormy, XPOS: JJ, Feats: Degree=Pos
gusts --> UPOS: NOUN, Lemma: gust, XPOS: NNS, Feats: Number=Plur
of --> UPOS: ADP, Lemma: of, XPOS: IN, Feats: None
winter --> UPOS: NOUN, Lemma: winter, XPOS: NN, Feats: Number=Sing
's --> UPOS: PART, Lemma: 's, XPOS: POS, Feats: None
day --> UPOS: NOUN, Lemma: day, XPOS: NN, Feats: Number=Sing
and --> UPOS: CCONJ, Lemma: and, XPOS: CC, Feats: None
barren --> UPOS: ADJ, Lemma: barren, XPOS: JJ, Feats: Degree=Pos
rage --> UPOS: NOUN, Lemma: rage, XPOS: NN, Feats: Number=Sing
of --> UPOS: ADP, Lemma: of, XPOS: IN, Feats: None
death --> UPOS: NOUN, Lemma: death, XPOS: NN, Feats: Number=Sing
's --> UPOS: PART, Lemma: 's, XPOS: POS, Feats: None
eternal --> UPOS: ADJ, Lemma: eternal, XPOS: JJ, Feats: Degree=Pos
cold --> UPOS: NOUN, Lemma: cold, XPOS: NN, Feats: Number=Sing
o --> UPOS: INTJ, Lemma: o, XPOS: UH, Feats: None
none --> UPOS: NOUN, Lemma: none, XPOS: NN, Feats: Number=Sing
but --> UPOS: CCONJ, Lemma: but, XPOS: CC, Feats: None
unthrifts --> UPOS: NOUN, Lemma: unthrift, XPOS: NNS, Feats: Number=Plur
dear --> UPOS: ADJ, Lemma: dear, XPOS: JJ, Feats: Degree=Pos
my --> UPOS: PRON, Lemma: my, XPOS: PRP$, Feats: Case=Gen|Number=Sing|Person=1|Poss=Yes|PronType=Prs
love --> UPOS: NOUN, Lemma: love, XPOS: NN, Feats: Number=Sing
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Number=Sing|Person=2|PronType=Prs
know --> UPOS: VERB, Lemma: know, XPOS: VBP, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
had --> UPOS: VERB, Lemma: have, XPOS: VBD, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Past|VerbForm=Fin
a --> UPOS: DET, Lemma: a, XPOS: DT, Feats: Definite=Ind|PronType=Art
father --> UPOS: NOUN, Lemma: father, XPOS: NN, Feats: Number=Sing
let --> UPOS: VERB, Lemma: let, XPOS: VB, Feats: Mood=Imp|VerbForm=Fin
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
son --> UPOS: NOUN, Lemma: son, XPOS: NN, Feats: Number=Sing
say --> UPOS: VERB, Lemma: say, XPOS: VB, Feats: VerbForm=Inf
so --> UPOS: ADV, Lemma: so, XPOS: RB, Feats: None
