Имя файла,Ключевые слова (рус),Ключевые слова (англ),ключевые слова (Ruterm)
Brodovskaya_Siniakov_IMS_2014_Abstract_rus.txt,"российских пользователей, реализованного методом, методом анкетирования, статье представлены, представлены результаты, результаты эмпирического, ценностный выбор, выбор молодых, молодых российских, Мирового Интернет",,"ценностный выбор, ценностные стереотипы, ценностные предпочтения, ценностные ориентации, ценностная структура, ценностная иерархия, тип интернет-культуры, результат исследования, одна сторона, инструментарий исследования"
Kurochkina_IMS_2017_Abstract_eng.txt,,"Saint Petersburg, Petersburg State, State University, automatic collocation, extractions methods, measures, Evaluation, association measures, collocation, association",
Pijavskij_IMS_2013_Abstract_eng.txt,,"electronic libraries, information, factual information, factual, systematization, Mathematical models, information optimal, optimal systematization, libraries, article describes",
Yatsenko_IMS_2014_Abstract_eng.txt,,"Current Status, Electronic Structure, Current, Ensure, Electronic, Status, Kazakov, Atoms, Structure, Information System",
Mengliev_IMS_2021_Abstract_eng.txt,,"Uzbek Language, Language Morphoanalyzer, Uzbek, morphological analyzer, Language, Morphoanalyzer, analyzer, morphological, Alisher Navoi, issues",
Chizhik_IMS_2013_Abstract_eng.txt,,"effective method, Internet, advertising, PR-communications, effective, method, multimedia product, multimedia, advertising campaigns, Article reviews",
Tolstikova_IMS_2013_Abstract_eng.txt,,"Cultural Studies, social interaction, social, communication, social networks, Studies, Irina Tolstikova, information culture, social processes, networks",
Dubovik_IMS_2017_Abstract_eng.txt,,"style identification, text style, State University, Automatic text, style, texts, statistical parameters, identification, text, Dubovik Saint-Petersburg",
Makarov_IMS_2014_Abstract_eng.txt,,"Higher, Library, Library Technologies, Technologies, Newest, information technologies, Newest Library, Petrova, Sushin, Education",
Brodovskaya_Siniakov_IMS_2014_Abstract_eng.txt,,"Internet Communication, Internet, Communication, Internet Project, World Internet, Young People, Intensity, research, Internet culture, choice",
Masevich_IMS_2016_Abstract_rus.txt,"историкокультурного значения, исторические корпуса, корпуса позволяют, позволяют выявить, выявить факты, Словарь Dictionary.com, квантитативная культурология, культурометрия, научных исследований, Диахронические",,"культурометрия, частота употребления, термин culturomics, словарь dictionary.com, российская история, рамки культурологии, промежуток времени, представляемая работа, последние годы, оцифрованные тексты"
Sokolova_IMS_2020_Abstract_rus.txt,"Работа посвящена, разметке корпусов, посвящена дискурсивной, Rhetoric Structure, Structure Theory, Работа, корпусов, разметки, посвящена, корпусе Ru-RSTreebank",,"статья, проблемы, устойчивость разметки, состав отношений, создание стандартов, ряд решений, риторические структуры, рамки теории, разметка корпуса, одна сторона"
Sidorova_IMS_2013_Abstract_rus.txt,"муниципального управления, статье дан, дан анализ, анализ теоретических, теоретических подходов, опыта анализа, анализа сайтов, органов государственного, Алтайского края, сайтов органов",,"теоретические подходы, результаты исследования, муниципальное управление, информационная открытость, алтайский край, статья, анализ"
Azarova_IMS_2016_Abstract_eng.txt,,"YARN, RussNet, State University, Federal University, language processing, Russian, University, YARN projects, project, Data",
Zakharov_IMS_2014_Abstract_rus.txt,"Статья представляет, статистических мер, выделению терминологических, терминологических словосочетаний, основе различных, различных статистических, t-score, min, Sketch Engine, Статья",,"терминологические словосочетания, результаты экспериментов, результаты исследования, статья, основа, выделение, t-score, sensitivity, min, mi3"
Grigorieva_IMS_2013_Abstract_rus.txt,"Современное общество, глобальными процессами, общество характеризуется, крайней мере, мере двумя, двумя глобальными, компьютеризацией, Современное, процессами, старением",,"социальное исключение, современное общество, пожилые работа, пожилые люди, настоящая статья, крайняя мера, актуальное вопрос, тема, старение, рассмотрение"
Khokhlova_IMS_2018_Abstract_rus.txt,"существующих систем, статье дается, дается обзор, обзор существующих, представляющих информацию, базы данных, систем, представляющих, сочетаемости, разнообразные словари",,"существующие системы, русский язык, реализация проекта, разнообразные словари, разнообразные задачи, прикладная лингвистика, представляющие информация, основа корпусов, материал словарей, извлечённые коллокация"
Boyarsky_IMS_2015_Abstract_rus.txt,"эквивалентные слову, неизменяемые словосочетания, русском языке, встречаются устойчивые, устойчивые неизменяемые, словосочетаний, эквивалентные, слову, таких словосочетаний, текстах",,"эквивалентные слово, точность порядка, такие словосочетания, семантические значения, свободные словосочетания, русский язык, проведённая оценка, правое контекст, подобные словосочетания, некоторые случаи"
Kapterev_IMS_2014_Abstract_rus.txt,"профориентационных решений, продукционных алгоритмов, результате анализа, анализа проблемной, проблемной ситуации, отечественном управлении, управлении профессионализацией, профориентации старших, старших школьников, школьников предложена",,"старшие школьники, результат анализа, профориентационные решения, продукционные алгоритмы, проблемная ситуация, отечественный управление, основа модели, частность, спппр, профориентация"
Maksimov_IMS_2023_Abstract_rus.txt,"Работа посвящена, посвящена исследованию, обоснованию свойств, свойств информации, информации, Работа, Информация рассматривается, законами природы, способным изменять, целевого объекта",,"целевое объект, рассматриваемые свойства, понимание информации, оценка информации, мыслительные процессы, материальное мир, законы природы, зависимости объектов, всеобщее свойство, атрибутивные свойства"
Dubovik_IMS_2017_Abstract_rus.txt,"Исследование основывается, возможно определить, принадлежность текста, иному функциональному, функциональному стилю, стилю возможно, статистические параметры, используемые параметры, параметры, Исследование",,"статистические параметры, принадлежность текста, основание методов, определение стилей, используемые параметры, эксперименты, предположение, материал, корпусы, исследование"
Martynenko_IMS_2017_Abstract_eng.txt,,"frequency lists, ordinal statistics, word frequency, State University, Petersburg State, lists, word, ordinal, statistics, consistency",
Kurochkina_IMS_2017_Abstract_rus.txt,"Данная работа, работа посвящена, посвящена оценке, мер ассоциации, ассоциации, мер, оценке мер, выявления коллокаций, Данная, используемых",,"выявление коллокаций, цель работы, устойчивые словосочетания, система nosketchengine, популярные меры, меры ассоциации, данная работа, эксперимент, работа, пример"
Boyarsky_IMS_2015_Abstract_eng.txt,,"ITMO University, Petersburg Institute, Collocations, Collocations regarded, word, regarded, Boyarsky, Kanevsky, RAS, ITMO",
Raikov_IMS_2018_Abstract_eng.txt,,"cognitive models, cognitive, models, Cognitive modelling, big data, data analysis, Sciences RAS, Philosophy RAS, deep learning, Control Sciences",
Pimenov_IMS_2014_Abstract_rus.txt,"Описывается техника, консервации документов, техника составления, сетевой информации, области консервации, составления путеводителя, путеводителя, потенциальные пользователи, Описывается, документов",,"составление рубрик, сетевая информация, потенциальные пользователи, обработка запросов, назначение путеводителя, комплектование путеводителя, работа"
Kogan_IMS_2022_Abstract_rus.txt,"Развитие интернета, открытое образование, информационного общества, общества привело, появлению важного, важного тренда, документами ООН, науку, информацию, Развитие",,"ия, изучение, широкое использование, ценный ресурс, учебные цели, трудоёмкая задача, развитие интернета, педагогическая общественность, открытое образование, научные статьи"
Zhang_IMS_2019_Abstract_rus.txt,"рассматривается визуализация, визуализация русской, языковой картины, русской языковой, статье рассматривается, семантических полей, концептов, картины, визуализации семантических, семантических",,"семантические поля, статья, помощь, интеллект-карта, государство, власть, формирование интеллект-карт, три концептов, способы представления, современное общество"
Mengliev_IMS_2021_Abstract_rus.txt,"узбекского языка, анализатора узбекского, морфологического анализатора, статье рассматривается, создания морфологического, узбекского, языка, составляет морфоанализатора, числе, морфоанализатора узбекского",,"узбекский язык, морфологический анализатор, число, статья, языковые корпусы, электронные переводчики, состав морфоанализатора, орфографические корректоры, лингвистическое обеспечение, лингвистические анализаторы"
Masevich_IMS_2017_Abstract_eng.txt,,"Semantic trasformation, Petersburg State, political vocabulary, State Institute, State University, Petersburg, frequency behavior, State, Semantic, Andrey Ts.Masevich",
Peskova_IMS_2013_Abstract_eng.txt,,"Cloud, cloud services, Cloud systems, Hype Cycle, problems, services, security, systems, strategy, curve Hype",
Ivanchenko_IMS_2013_Abstract_eng.txt,,"Topical issues, mobile technologies, higher education, mobile, Topical, issues, introduction, higher, education, technologies",
Ogay_IMS_2017_Abstract_eng.txt,,"REPORT’S TITLE, ENGLISH, Saint Petersburg, TITLE, State University, Petersburg State, Petersburg, REPORT’S, Saint, visualisation",
Zakharov_IMS_2017_Abstract_rus.txt,"русского языка, Синтаксического словаря, онтология первообразных, конструкций русского, работе представлена, представлена методика, методика построения, построения контекстной, контекстной грамматики, грамматики предложных",,"русский язык, синтаксический словарь, предложные конструкции, полученные данные, первообразные предлоги, онтология предлогов, научная значимость, методика построения, лексикосемантические характеристики, контекстная грамматика"
Kislov_IMS_2017_Abstract_rus.txt,"англоязычной лексики, обновлении лексики, Усиливающееся влияние, лингвоспецифичных явлениях, современный китайский, китайский язык, многочисленных заимствованиях, заимствованиях англицизмов, обнаруживаются практически, массовом обновлении",,"развитие, языковой система, языковой игра, языковая игра, усиливающееся влияние, существующие иероглифы, современный этап, серьёзный реформирование, принципы онлайн-коммуникации, основа омонимии"
Voroshilov_IMS_2013_Abstract_rus.txt,"Интернет становится, становится одним, фактографической информации, информации, образовательном процессе, основных источников, Выполнение курсовых, выполнение лабораторных, фактографической, Выполнение",,"фактографическая информация, информационная система, систематизация, использование, выполнение, технология освоения, такой образ, студенты вузов, специальные компетенции, современные вузы"
Belova_IMS_2014_Abstract_rus.txt,"Нижегородской области, Правительством Нижегородской, реализуемых Правительством, Электронный гражданин, гражданин Нижегородской, информационного общества, статье рассматриваются, рассматриваются подходы, использованию интернета, продвижения социальных",,"нижегородская область, электронный гражданин, формирование кампании, социальные проекты, реализуемые правительство, пример проекта, популяризация проекта, использование интернета, использование интернет-инструментов, информационное общество"
Sampetova_IMS_2018_Abstract_rus.txt,"расстоянии Левенштейна, русскоязычных текстах, n-граммной модели, докладе представлен, представлен опыт, опыт реализации, исправления опечаток, автоматического исправления, реализации алгоритма, алгоритма автоматического",,"предположение, стандартная клавиатура, русскоязычные тексты, русский язык, расстояние левенштейна, проведённая работа, некорректный ввод, n-граммной модели, целое, расстояние"
Kulik_IMS_2014_Abstract_eng.txt,,"Challenge Systemic, Systemic, Challenge, Government, Collaborative governance, government paradigm, government efficiency, Governance, society, mobile Internet",
Artemova_IMS_2015_Abstract_rus.txt,"электронного обучения, подготовки специалистов, областях целесообразно, целесообразно использовать, использовать формат, формат электронного, слабоформализованных предметных, предметных областях, предметных областей, изучаемых предметных",,"отдельные термины, электронное обучение, частота встречаемости, толкование терминов, текстовые источники, смысл онтологии, семантический классификатор, семантические классификатор, разработка онтологий, пример материалов"
Popova_IMS_2019_Abstract_rus.txt,"Прагматическое аннотирование, используя определенные, определенные маркеры, эксплицирует коммуникативные, коммуникативные намерения, перцептивной базе, аннотирование корпуса, корпуса повседневной, повседневной русской, собеседниками перцептивной",,"социальная роль, социолингвистические данные, социальные роли, разный род, перцептивная база, определённые маркеры, нужная единицы, некоторая зависимость, малоизученные параметры, корпус орд"
Grigoryeva_IMS_2014_Abstract_rus.txt,"Фокус данной, социологических конструктов, пожилого возраста, данной статьи, статьи связан, изменением социологических, изучается старение, Фокус, конструктов, возраста",,"социологические конструкты, рынок труда, пожилые икт, пилотный исследование, данная статья, фокус, старение, рамки, обучение, изменение"
Chekmeneva_IMS_2019_Abstract_rus.txt,"Данная работа, музыковедческом дискурсе, работа занимается, занимается исследованием, исследованием феномена, концептуальной метафоры, феномена концептуальной, метафоры Лакоффа, Sketch Engine, теории концептуальной",,"автор, различные теория, процесс исследования, описывающие метафора, музыковедческий дискурс, музыковедческая тематика, корпус текстов, концептуальная метафоры, исследование феномена, данная работа"
Zakharov_IMS_2015_Abstract_eng.txt,,"set phrases, Corpora, State University, set, phrases, corpus, methods, Russian Academy, Corpus linguistics, text corpora",
Filchenkov_IMS_2014_Abstract_eng.txt,,"predict outcomes, tasks methodological, methodological foundations, digital traces, social media, protests tasks, Comparative analysis, problem, media users, traces",
Sedova_IMS_2017_Abstract_rus.txt,"Исследование посвящено, тематического моделирования, текстовых коллекциях, посвящено усовершенствованию, усовершенствованию методов, методов вероятностного, вероятностного тематического, выявление скрытых, скрытых взаимосвязей, исключительно униграммами",,"ухудшение точности, усовершенствование методов, тематические модель, текстовые коллекции, специальные тексты, содержательная интерпретация, скрытые взаимосвязи, работа алгоритма, новый алгоритм, некоторые случаи"
Danilina_IMS_2014_Abstract_rus.txt,"учебных целях, Рассмотрены юридические, учебной литературе, юридические аспекты, аспекты возможности, возможности воспроизведения, воспроизведения авторских, авторских текстов, вопросы свободного, свободного использования",,"учебные цели, вопросы, учебная литература, применение сети, правовое функционирование, оцифрованные учебники, особое внимание, авторское право, авторские тексты, интернет"
Melnichuk_IMS_2023_Abstract_rus.txt,"основные NLP-модели, архитектуру трансформеров, нормализующий слои, сравниваются основные, русском языке, исследовании сравниваются, научных статей, основе имеют, имеют архитектуру, механизм",,"русский язык, научные стати, задача суммаризации, эффективная модель, суммаризация текста, статистические метрики, русский текст, практическая ценность, поставленная задача, полученные результаты"
Bolgov_IMS_2013_Abstract_eng.txt,,"Field, Comparative Analysis, Eastern Europe, experts, covering Russia, Analysis, Surveys, citizens, E-Democracy, E-Participation",
Azarova_IMS_2018_Abstract_eng.txt,,"Russian Prepositional, Semantic Structure, prepositional constructions, Structure, Prepositional, domain, State University, Russian, Petersburg State, relations",
Smirnova_IMS_2017_Abstract_eng.txt,,"Tibetan compounds, Tibetan, lexical database, compounds, lexical, database, State University, Tibetan lexical, processing Tibetan, Principles",
Boykov_IMS_2013_Abstract_eng.txt,,"Semantic Model, Forming Part, Semantic, Thesaurus, Model, InformationAnalytical System, System, Forming, Part, Poetics",
Dyakova_IMS_2014_Abstract_rus.txt,"УрО РАН, Новые парадигмы, Статья подготовлена, совместным проектам, социального знания, рамках программы, программы научных, научных исследований, исследований ИФиП, ИФиП УрО",,"коррупция, электронное правительство, информационные технологии, статья, борьба, условия существования, усиление контроля, социальное знание, совместный проекты, рамки программы"
Kovalevsky_IMS_2013_Abstract_rus.txt,"Рассмотрены вопросы, направления экспериментальной, экспериментальной геофизики, активно развивающегося, последние десятилетия, вопросы информационной, информационной поддержки, активной сейсмологии, области активной, поддержки научных",,"активная сейсмология, электронная библиотека, экспериментальная геофизики, социальная сеть, смежные дисциплины, режим on-line, последние десятилетие, пополняемые пользователи, научные работы, научные исследования"
Komarova_IMS_2019_Abstract_rus.txt,"Статья посвящена, навыков обучающихся, посвящена перспективам, перспективам использования, использования подходов, подходов корпусной, корпусной лингвистики, формировании лексико-фразеологических, лексико-фразеологических навыков, практике речевого",,"корпус, речевой общение, практика, пособие, изучение, фразеологические единицы, фразеологические единица, учебные пособия, учебное процесс, список фразеологизмов"
Kulik_IMS_2014_Abstract_rus.txt,"начале XXI, XXI веков, основных факторов, социокультурной трансформации, работе предложен, предложен авторский, авторский взгляд, эволюцию парадигмы, трансформации постиндустриального, парадигмы правления",,"становление сети, социокультурная трансформация, предполагающая вовлечение, постиндустриальное общество, интерактивный потенциал, гражданское общество, авторский взгляд, сотрудичество, развитие, работа"
Karnup_IMS_2013_Abstract_eng.txt,,"twitter-based linguistic, linguistic research, russian-language microblogging, Russian Twitter, communication, Twitter, Russian, piece, twitter-based, research",
Smorgunov_IMS_2014_Abstract_eng.txt,,"Electronic Platforms, Public Space, Network, Public, Electronic, Platforms, Space, Learning, network community, public service",
Kogan_IMS_2018_Abstract_eng.txt,,"Saint Petersburg, Anna Yaroshevich, Anna Kolotaeva, German, Great Saint, Polytechnic University, University, Anna, Problem, Creating",
Yakushev_IMS_2013_Abstract_eng.txt,,"real world, SNS, SNS Vkontakte, real, social network, network Vkontakte, world, Russian SNS, Networks Sites, social",
Prokudin_IMS_2014_Abstract_rus.txt,"информационных ресурсов, научных исследований, созданию большого, большого специализированных, специализированных информационных, программного обеспечения, Информатизация научно-исследовательской, поддержки научных, научно-исследовательской деятельности, деятельности привела",,"научные исследования, научно-исследовательская деятельность, научная деятельность, учёт структуры, существующие решения, различные виды, раздроблённые группа, программное обеспечение, полная мера, научное сообщество"
Moskvina_IMS_2019_Abstract_rus.txt,"русского языка, рассматривается разработка, конструкциях русского, предложных конструкциях, содержащей информацию, Araneum Russicum, Russicum Minus, данных, разработка базы, базы данных",,"употребление предлогов, статистическая информация, содержащая информация, семантическая обработка, русский язык, расширенный контекст, рамки проекта, разные жанры, процесс получения, примеры запросов"
Aksarin_IMS_2013_Abstract_rus.txt,"Интернет оказывает, молодое поколение, театрального зрителя, оказывает существенное, существенное влияние, традиционного театрального, стиль поведения, поведения традиционного, поведения, Интернет",,"поведение, существенное влияние, стиль поведения, современные театры, пример проектов, привлечение зрителей, новое явление, новая сцена, настоящая статья, молодое поколение"
Karbovskii_IMS_2013_Abstract_rus.txt,"платформы CLAVIRE, Рассмотрены аспекты, социальных процессов, аспекты разработки, разработки массовых, массовых мобильных, мобильных сервисов, интеллектуальной поддержки, поддержки персональных, персональных решений",,"экстремальные ситуации, социальные процессы, персональные решения, интеллектуальная поддержка, аспекты разработки, основа, моделирование"
Boikov_IMS_2019_Abstract_eng.txt,,"State University, Automated Meter, Verse, Formal Language, Language Model, Verse Meters, Demidov State, Moscow State, Yaroslavl Demidov, Lomonosov Moscow",
Mochalova_IMS_2018_Abstract_eng.txt,,"Software implementation, Apache Jena, Jena framework, question-answering system, question-answer system, system, Institution Institute, ontology, Cosmophysical Research, Radio Wave",
Sokolova_IMS_2017_Abstract_eng.txt,,"Keyphrase Extraction, KEA, Russian, applying KEA, processing Russian, State University, Russian texts, Extraction, Keyphrase, Processing",
Ivanova_IMS_2019_Abstract_eng.txt,,"Video games, Video, Content Analysis, games, verbal components, State University, Petersburg State, verbal, Analysis, visual component",
Bershadskaya_IMS_2013_Abstract_rus.txt,"сетях тематик, электронных услуг, представлены результаты, результаты мониторинга, мониторинга обсуждаемости, социальных сетях, статье представлены, развитием электронного, электронного правительства, мониторинга социальных",,"электронное правительство, статья, электронные услуги, сервис мониторинга, качество инструмента, имеющая ретроспектива, 2013 года, развитие, апрель, анализ"
